sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Henslow, J. S.","Jenyns, Leonard",1823-04-02,1823-04-02
"Twopeny, Richard","Henslow, J. S.",1823-06-15,1823-06-15
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Sparke (Bishop of Ely), Bowyer","Henslow, J. S.",1824-03-01,1824-03-01
"Stephens, J. F.","Henslow, J. S.",1824-07-22,1824-07-22
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Henslow, J. S.",Unknown,1825-07-13,1825-07-13
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
