sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Henslow, J. S.","Jenyns, Leonard",1823-04-08,1823-04-08
"Twopeny, Richard","Henslow, J. S.",1823-06-15,1823-06-15
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Radius, Justus","Henslow, J. S.",1824-05-28,1824-05-28
"Radius, Justus","Henslow, J. S.",1824-05-28,1824-05-28
"Radius, Justus","Henslow, J. S.",1824-05-28,1824-05-28
"Stephens, J. F.","Henslow, J. S.",1824-07-22,1824-07-22
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Radius, Justus","Henslow, J. S.",1825-03-15,1825-03-15
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Henslow, J. S.",Unknown,1825-07-13,1825-07-13
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Robarts, John","Henslow, J. S.",1825-10-15,1825-10-15
"Robarts, John","Henslow, J. S.",1825-10-15,1825-10-15
"Robarts, John","Henslow, J. S.",1825-10-15,1825-10-15
"Robarts, John","Henslow, J. S.",1825-10-15,1825-10-15
"Robarts, John","Henslow, J. S.",1825-10-15,1825-10-15
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Wood, J.","Henslow, J. S.",1825-12-23,1825-12-23
"Winch, N. J.","Henslow, J. S.",1825-12-30,1825-12-30
"Palmerston, Lord","Henslow, J. S.",1826-01-17,1826-01-17
"Palmerston, Lord","Henslow, J. S.",1826-01-19,1826-01-19
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Henslow, J. S.","Dale, J. C.",1826-02-14,1826-02-14
"Wood, J.","Henslow, J. S.",1826-02-17,1826-02-17
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Wood, J.","Henslow, J. S.",1826-02-21,1826-02-21
"Henslow, J. S.","Wilson, William",1826-05-20,1826-05-20
"Henslow, J. S.","Wilson, William",1826-05-20,1826-05-20
"Henslow, J. S.","Wilson, William",1826-05-20,1826-05-20
"Henslow, J. S.","Winch, N. J.",1826-06-30,1826-06-30
"Henslow, J. S.","Winch, N. J.",1826-06-30,1826-06-30
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Wilson, William","Henslow, J. S.",1826-07-18,1826-07-18
"Henslow, J. S.","Talbot, William Henry Fox",1826-08-16,1826-08-16
"Henslow, J. S.","Winch, N. J.",1826-09-25,1826-09-25
