sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-01-01,1820-01-01
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Clarke, E. D.","Henslow, J. S.",1821-11-15,1821-11-15
"Curtis, John","Henslow, J. S.",1822-07-02,1822-07-02
"Henslow, J. S.","Jenyns, Leonard",1823-04-02,1823-04-02
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Stephens, J. F.","Henslow, J. S.",1824-07-22,1824-07-22
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Robarts, John","Henslow, J. S.",1825-10-15,1825-10-15
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Winch, N. J.","Henslow, J. S.",1825-12-30,1825-12-30
"Margetts, W.","Henslow, J. S.",1826-01-05,1826-01-05
"Margetts, W.","Henslow, J. S.",1826-01-05,1826-01-05
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Clive, W.","Henslow, J. S.",1826-01-07,1826-01-07
"Hildyard, R. C.","Henslow, J. S.",1826-01-09,1826-01-09
"Hildyard, R. C.","Henslow, J. S.",1826-01-09,1826-01-09
"Stapleton, J. H.","Henslow, J. S.",1826-01-13,1826-01-13
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
