sender,recipient,date,end date
"Henslow, J. S.","Jenyns, Leonard",1823-04-02,1823-04-02
"Radius, Justus","Henslow, J. S.",1824-05-28,1824-05-28
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Clive, W.","Henslow, J. S.",1826-01-07,1826-01-07
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-20,1826-01-20
"Carrighan, A.","Henslow, J. S.",1826-01-20,1826-01-20
"Wood, J.","Henslow, J. S.",1826-01-27,1826-01-27
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Elliot, H. V.","Henslow, J. S.",1826-02-16,1826-02-16
"Carrighan, A.","Henslow, J. S.",1826-02-17,1826-02-17
"Wood, J.","Henslow, J. S.",1826-02-23,1826-02-23
"Allen, J. T.","Henslow, J. S.",1826-03-07,1826-03-07
"Palmerston, Lord","Henslow, J. S.",1826-06-09,1826-06-09
"Palmerston, Lord","Henslow, J. S.",1826-06-09,1826-06-09
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Marsh, Revd. W.","Henslow, J. S.",1829-03-20,1829-03-20
"Bird, C. S.","Henslow, J. S.",1829-11-25,1829-11-25
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Lowe, R. T.","Henslow, J. S.",1830-01-12,1830-01-12
"Lowe, R. T.","Henslow, J. S.",1830-01-12,1830-01-12
"Irving, Edward","Henslow, J. S.",1830-10-20,1830-10-20
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Lyell, Charles","Henslow, J. S.",1831-06-24,1831-06-24
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Ramsay, E. B.","Henslow, J. S.",1831-08-03,1831-08-03
"Ramsay, E. B.","Henslow, J. S.",1831-08-03,1831-08-03
"Ramsay, E. B.","Henslow, J. S.",1831-08-03,1831-08-03
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Henslow, J. S.","Whewell, William",1831-08-14,1831-08-14
"Henslow, J. S.","Whewell, William",1831-08-14,1831-08-14
"Calvert, Fred","Henslow, J. S.",1831-08-19,1831-08-19
"Worsley, W.","Henslow, J. S.",1831-08-28,1831-08-28
"Henslow, J. S.","Daubeny, Charles",1831-10-17,1831-10-17
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Darwin, E. A.","Henslow, J. S.",1833-01-23,1833-01-23
"Henslow, J. S.","Buckland, William",1833-09-05,1833-09-05
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Fitton, William Henry","Henslow, J. S.",1837-12-08,1837-12-08
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Sedgwick, Adam","Henslow, J. S.",1843-01-01,1843-01-01
"Henslow, J. S.","Herschel, Sir J. F. W.",1843-05-13,1843-05-13
"Henslow, J. S.","Hooker, J. D.",1843-12-01,1843-12-01
"Henslow, J. S.",Unknown,1844-05-21,1844-05-21
"Way, Albert","Henslow, J. S.",1845-07-02,1845-07-02
"Jenyns, Leonard","Henslow, J. S.",1847-01-06,1847-01-06
"Sedgwick, Adam","Henslow, J. S.",1850-02-01,1850-02-01
"Romilly, Joseph","Henslow, J. S.",1850-04-08,1850-04-08
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Carpenter, Anna","Henslow, J. S.",1850-07-02,1850-07-02
"Johnston, George","Henslow, J. S.",1853-08-11,1853-08-11
"Henslow, J. S.","Whewell, William",1854-03-05,1854-03-05
"Henslow, J. S.","Martin, Thomas",1854-04-29,1854-04-29
"Henslow, J. S.","Yates, Miss",1855-05-10,1855-05-10
"Billing, Archibald","Henslow, J. S.",1855-11-22,1855-11-22
"Carpenter, William B.","Henslow, J. S.",1856-04-06,1856-04-06
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Sedgwick, Adam","Henslow, J. S.",1857-11-20,1857-11-20
"Sedgwick, Adam","Henslow, J. S.",1857-11-20,1857-11-20
"Colchester, William","Henslow, J. S.",1857-11-27,1857-11-27
"Evans, John","Henslow, J. S.",1858-04-24,1858-04-24
"Jenyns, Leonard","Henslow, J. S.",1858-11-18,1858-11-18
"Carpenter, William B.","Henslow, J. S.",1858-12-22,1858-12-22
"Sedgwick, Adam","Henslow, J. S.",1858-12-31,1858-12-31
"Ellis, William","Henslow, J. S.",1859-01-15,1859-01-15
"Sedgwick, Adam","Henslow, J. S.",1859-07-12,1859-07-12
"Sedgwick, Adam","Henslow, J. S.",1859-07-12,1859-07-12
"Evans, John","Henslow, J. S.",1859-07-30,1859-07-30
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Henslow, J. S.","Sedgwick, Adam",1860-04-30,1860-04-30
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Sedgwick, Adam","Henslow, J. S.",1860-08-01,1860-08-01
"Rolphe, Robert Mansey ","Henslow, J. S.",1860-10-31,1860-10-31
