sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Henslow, J. S.","Buckland, William",1833-09-05,1833-09-05
"Buckland, William","Henslow, J. S.",1833-09-11,1833-09-11
"Horner, Leonard","Henslow, J. S.",1834-10-12,1834-10-12
"Henslow, J. S.","Hutton, William",1839-04-18,1839-04-18
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Ansted, David Thomas","Henslow, J. S.",1839-12-19,1839-12-19
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Hutton, William",1840-10-24,1840-10-24
"Henslow, J. S.","Hutton, William",1840-10-24,1840-10-24
"Brongniart, Adoplphe-Théodore","Henslow, J. S.",1840-12-12,1840-12-12
"Brongniart, Adoplphe-Théodore","Henslow, J. S.",1840-12-12,1840-12-12
"Brongniart, Adoplphe-Théodore","Henslow, J. S.",1840-12-12,1840-12-12
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Henslow, J. S.","Sedgwick, Adam",1841-10-05,1841-10-05
"Henslow, J. S.","Sedgwick, Adam",1841-10-05,1841-10-05
"Owen, Richard","Henslow, J. S.",1842-09-22,1842-09-22
"Henslow, J. S.","Sedgwick, Adam ",1843-10-30,1843-10-30
"Henslow, J. S.","Sedgwick, Adam ",1843-10-30,1843-10-30
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Henslow, J. S.","Buckland, William",1845-07-09,1845-07-09
"Parker, Charles","Henslow, J. S.",1846-12-01,1846-12-01
"Owen, Richard","Henslow, J. S.",1849-08-30,1849-08-30
"Forbes, Edward","Henslow, J. S.",1851-05-06,1851-05-06
"Forbes, Edward","Henslow, J. S.",1851-05-06,1851-05-06
"Forbes, Edward","Henslow, J. S.",1851-05-06,1851-05-06
"Forbes, Edward","Henslow, J. S.",1851-05-06,1851-05-06
"Forbes, Edward","Henslow, J. S.",1851-05-06,1851-05-06
"Waterhouse, George R.","Henslow, J. S.",1851-09-18,1851-09-18
"Henslow, J. S.","Jenyns, Leonard",1851-11-15,1851-11-15
"Henslow, J. S.",Printed circular,1851-11-15,1851-11-15
"Curtis, John","Henslow, J. S.",1852-01-19,1852-01-19
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Prestwich, Joseph","Henslow, J. S.",1853-07-02,1853-07-02
" Wood, Searles Valentine","Henslow, J. S.",1853-10-29,1853-10-29
"Wood, Searles Valentine","Henslow, J. S.",1853-10-29,1853-10-29
"Wood, Searles Valentine  ","Henslow, J. S.",1853-11-27,1853-11-27
"Owen, Richard","Henslow, J. S.",1853-12-01,1853-12-01
"Henslow, J. S.","Fitch, William Stevenson",1853-12-21,1853-12-21
"Henslow, J. S.","Fitch, William Stevenson",1853-12-21,1853-12-21
"Cumming, Joseph George","Henslow, J. S.",1854-08-24,1854-08-24
"Owen, Richard","Henslow, J. S.",1854-09-20,1854-09-20
"Carpenter, P. P.","Henslow, J. S.",1854-11-06,1854-11-06
"Owen, Richard","Henslow, J. S.",1854-12-22,1854-12-22
"Carpenter, Philip","Henslow, J. S.",1855-07-02,1855-07-02
"Owen, Richard","Henslow, J. S.",1856-01-21,1856-01-21
"Owen, Richard","Henslow, J. S.",1856-01-21,1856-01-21
"Owen, Richard","Henslow, J. S.",1856-01-21,1856-01-21
"Owen, Richard","Henslow, J. S.",1856-02-02,1856-02-02
"Richardson, John","Henslow, J. S.",1856-04-06,1856-04-06
"Richardson, John","Henslow, J. S.",1856-04-06,1856-04-06
"Owen, Richard","Henslow, J. S.",1857-01-26,1857-01-26
"Owen, Richard","Henslow, J. S.",1857-01-26,1857-01-26
"Horner, Leonard","Henslow, J. S.",1857-09-12,1857-09-12
"Horner, Leonard","Henslow, J. S.",1857-09-12,1857-09-12
"Carpenter, William B.","Henslow, J. S.",1857-12-27,1857-12-27
"Phillips, John","Henslow, J. S.",1858-03-09,1858-03-09
"Phillips, John","Henslow, J. S.",1858-03-09,1858-03-09
"Owen, Richard","Henslow, J. S.",1858-03-21,1858-03-21
"Prestwich, Joseph","Henslow, J. S.",1858-09-03,1858-09-03
"Henslow, J. S.","Sedgwick, Adam",1858-12-27,1858-12-27
"Charlesworth, Edward","Henslow, J. S.",1859-07-21,1859-07-21
"Charlesworth, Edward","Henslow, J. S.",1859-07-28,1859-07-28
"Charlesworth, Edward","Henslow, J. S.",1859-07-28,1859-07-28
"Charlesworth, Edward","Henslow, J. S.",1859-07-28,1859-07-28
"Jenyns, Leonard","Henslow, J. S.",1859-11-21,1859-11-21
"Evans, John","Henslow, J. S.",1859-11-28,1859-11-28
"Jenyns, Leonard","Henslow, J. S.",1859-12-31,1859-12-31
"Henslow, J. S.","Whewell, William",1860-01-26,1860-01-26
