sender,recipient,date,end date
"Henslow, J. S.","Jenyns, Leonard",1823-04-08,1823-04-08
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Wood, J.","Henslow, J. S.",1825-12-23,1825-12-23
"Stapleton, J. H.","Henslow, J. S.",1826-01-13,1826-01-13
"Carrighan, A.","Henslow, J. S.",1826-01-25,1826-01-25
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Greville, R. K.","Henslow, J. S.",1827-04-30,1827-04-30
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Dalton, Revd James","Henslow, J. S.",1829-11-17,1829-11-17
"Smith, G. E.","Henslow, J. S.",1830-05-10,1830-05-10
"Lindley, John","Henslow, J. S.",1831-01-28,1831-01-28
"Grant, George","Henslow, J. S.",1831-03-31,1831-03-31
"Wood, J.","Henslow, J. S.",1831-04-24,1831-04-24
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Ramsay, E. B.","Henslow, J. S.",1831-08-03,1831-08-03
"Ramsay, E. B.","Henslow, J. S.",1831-08-03,1831-08-03
"Ramsay, E. B.","Henslow, J. S.",1831-08-03,1831-08-03
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Henslow, J. S.","Whewell, William",1831-08-14,1831-08-14
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Wallich, Nathaniel","Henslow, J. S.",1831-11-17,1831-11-17
"Henslow, J. S.","Dale, J. C.",1832-09-22,1832-09-22
"Fitton, William Henry","Henslow, J. S.",1837-12-08,1837-12-08
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Brougham, W.","Henslow, J. S.",1840-07-01,1840-07-01
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Henslow, J. S.","Hooker, J. D.",1844-08-04,1844-08-04
"Jenyns, Leonard","Henslow, J. S.",1847-01-06,1847-01-06
"Bunbury, C. J. F.","Henslow, J. S.",1847-02-03,1847-02-03
"Whewell, William","Henslow, J. S.",1847-08-14,1847-08-14
"Sedgwick, Adam","Henslow, J. S.",1849-01-11,1849-01-11
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Henslow, J. S.","Airy, George Biddell",1849-11-24,1849-11-24
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Henslow, J. S.","Jenyns, Leonard",1851-11-15,1851-11-15
"Henslow, J. S.","Dale, J. C.",1851-12-29,1851-12-29
"Curtis, John","Henslow, J. S.",1852-01-19,1852-01-19
"Bowerbank, James Scott","Henslow, J. S.",1852-02-03,1852-02-03
"Lindley, John","Henslow, J. S.",1852-12-31,1852-12-31
"Johnston, George","Henslow, J. S.",1853-08-11,1853-08-11
"Johnston, George","Henslow, J. S.",1853-08-11,1853-08-11
" Wood, Searles Valentine","Henslow, J. S.",1853-12-06,1853-12-06
" Wood, Searles Valentine","Henslow, J. S.",1853-12-06,1853-12-06
" Wood, Searles Valentine","Henslow, J. S.",1853-12-06,1853-12-06
"Henslow, J. S.","Fitch, William Stevenson",1853-12-21,1853-12-21
"Henslow, J. S.","Willis, Robert",1853-12-24,1853-12-24
"Henslow, J. S.","Whewell, William",1854-03-05,1854-03-05
"Henslow, J. S.","Martin, Thomas",1854-04-29,1854-04-29
"Billing, Archibald","Henslow, J. S.",1855-11-22,1855-11-22
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Bunbury, Sir H.","Henslow, J. S.",1857-09-24,1857-09-24
"Carpenter, William B.","Henslow, J. S.",1857-11-21,1857-11-21
"Spence, William","Henslow, J. S.",1858-04-23,1858-04-23
"Sedgwick, Adam","Henslow, J. S.",1858-11-06,1858-11-06
"Sedgwick, Adam","Henslow, J. S.",1858-12-31,1858-12-31
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Jenyns, Leonard","Henslow, J. S.",1859-11-21,1859-11-21
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-10-03,1860-10-03
"Skepper, Edmund","Henslow, J. S.",1860-11-15,1860-11-15
