sender,recipient,date,end date
"Sulivan, L.","Henslow, J. S.",1826-01-24,1826-01-24
"Sulivan, L.","Henslow, J. S.",1826-01-24,1826-01-24
"Wood, J.","Henslow, J. S.",1826-02-02,1826-02-02
"Sulivan, L.","Henslow, J. S.",1826-02-09,1826-02-09
"Sulivan, L.","Henslow, J. S.",1826-05-17,1826-05-17
"Whewell, William","Henslow, J. S.",1826-06-09,1826-06-09
"Lindley, John","Henslow, J. S.",1829-05-12,1829-05-12
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Winch, N. J.","Henslow, J. S.",1831-04-28,1831-04-28
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Ramsay, E. B.","Henslow, J. S.",1831-11-23,1831-11-23
"Henslow, J. S.","Phillips, John",1832-11-20,1832-11-20
"Henslow, J. S.","Phillips, John",1832-11-20,1832-11-20
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Harcourt, W. J.","Henslow, J. S.",1833-07-29,1833-07-29
"Harcourt, W. J.","Henslow, J. S.",1833-07-29,1833-07-29
"Henslow, J. S.","Harcourt, William Vernon",1833-08-08,1833-08-08
"Henslow, J. S.","Harcourt, William Vernon",1833-08-08,1833-08-08
"Henslow, J. S.","Harcourt, William Vernon",1833-08-08,1833-08-08
"Henslow, J. S.","Phillips, John",1833-11-01,1833-11-01
"Henslow, J. S.","Phillips, John",1833-11-01,1833-11-01
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.",Geological Society,1836-09-08,1836-09-08
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henslow, J. S.",Unknown,1840-09-21,1840-09-21
"Lumholtz, Ettwin","Henslow, J. S.",1840-10-17,1840-10-17
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Charlesworth, Edward","Henslow, J. S.",1842-11-11,1842-11-11
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Maund, Benjamin","Henslow, J. S.",1845-01-19,1845-01-19
"Maund, Benjamin","Henslow, J. S.",1845-01-19,1845-01-19
"Phillips, John","Henslow, J. S.",1845-07-02,1845-07-02
"Phillips, John","Henslow, J. S.",1845-07-02,1845-07-02
"Henslow, J. S.","Buckland, William",1845-07-16,1845-07-16
"Henslow, J. S.","Lindley, John",1846-01-16,1846-01-16
"Coleman, Henry","Henslow, J. S.",1846-02-12,1846-02-12
"Jenyns, Leonard","Henslow, J. S.",1847-01-06,1847-01-06
"Pollock, Frederick","Henslow, J. S.",1848-06-24,1848-06-24
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Whewell, William","Henslow, J. S.",1849-02-15,1849-02-15
"Phillips, John","Henslow, J. S.",1851-04-02,1851-04-02
"Horner, Leonard","Henslow, J. S.",1851-05-10,1851-05-10
"Owen, Richard","Henslow, J. S.",1852-09-18,1852-09-18
"Lindley, John","Henslow, J. S.",1852-12-31,1852-12-31
"Miller, W. H.","Henslow, J. S.",1853-10-25,1853-10-25
"Prestwich, Joseph","Henslow, J. S.",1855-01-23,1855-01-23
"Spence, William","Henslow, J. S.",1855-06-28,1855-06-28
"Horner, Leonard","Henslow, J. S.",1855-12-03,1855-12-03
"Jardine, William","Henslow, J. S.",1856-03-20,1856-03-20
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Horner, Leonard","Henslow, J. S.",1857-05-10,1857-05-10
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Carpenter, William B.","Henslow, J. S.",1857-12-27,1857-12-27
"Jenyns, Leonard","Henslow, J. S.",1859-03-12,1859-03-12
"Henslow, J. S.",Unknown,1859-07-16,1859-07-16
"Henslow, J. S.","Jenyns, Leonard",1860-01-26,1860-01-26
"Owen, Richard","Henslow, J. S.",1860-03-15,1860-03-15
"Carpenter, William B.","Henslow, J. S.",1860-05-14,1860-05-14
"Jenyns, Leonard","Henslow, J. S.",1860-10-03,1860-10-03
"Henslow, J. S.","Nihill, Daniell",1861-02-14,1861-02-14
