sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Henslow, J. S.","Jenyns, Leonard",1823-01-07,1823-01-07
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Palmerston, Lord","Henslow, J. S.",1826-05-25,1826-05-25
"Henslow, J. S.","Talbot, William Henry Fox",1826-08-16,1826-08-16
"Henslow, J. S.","Jenyns, Leonard",1826-10-04,1826-10-04
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Lowe, R. T.","Henslow, J. S.",1827-03-26,1827-03-26
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Radius, Justus","Henslow, J. S.",1828-12-24,1828-12-24
"Dalton, Revd James","Henslow, J. S.",1829-11-17,1829-11-17
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Lowe, R. T.","Henslow, J. S.",1830-01-12,1830-01-12
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Lindley, John","Henslow, J. S.",1831-01-28,1831-01-28
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Henslow, J. S.","Dale, J. C.",1834-02-08,1834-02-08
"Lindley, John","Henslow, J. S.",1834-03-27,1834-03-27
"Lindley, John","Henslow, J. S.",1834-03-27,1834-03-27
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Ansted, David Thomas","Henslow, J. S.",1839-12-19,1839-12-19
"Henslow, J. S.","Hutton, William",1840-01-21,1840-01-21
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Lumholtz, Ettwin","Henslow, J. S.",1840-10-17,1840-10-17
"Woodward, S. P.","Henslow, J. S.",1841-11-05,1841-11-05
"Herschel, Sir J. F. W.","Henslow, J. S.",1843-05-07,1843-05-07
"Henslow, J. S.","Sedgwick, Adam ",1843-10-30,1843-10-30
"Henslow, J. S.","Sedgwick, Adam ",1843-10-30,1843-10-30
"Henslow, J. S.","Sedgwick, Adam ",1843-10-30,1843-10-30
"Morton, John Chalmers","Henslow, J. S.",1844-10-15,1844-10-15
"Henslow, J. S.","Buckland, William",1845-07-16,1845-07-16
"Bowerbank, James Scott","Henslow, J. S.",1849-01-09,1849-01-09
"Bowerbank, James Scott","Henslow, J. S.",1849-01-09,1849-01-09
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Eagle, Francis K.","Henslow, J. S.",1849-10-19,1849-10-19
"Henslow, J. S.","Hooker, J. D.",1852-12-08,1852-12-08
"Whewell, William","Henslow, J. S.",1853-04-22,1853-04-22
"Whewell, William","Henslow, J. S.",1853-04-22,1853-04-22
"Henslow, J. S.","Jenyns, Leonard",1853-11-07,1853-11-07
"Henslow, J. S.","Martin, Thomas",1854-10-14,1854-10-14
"Owen, Richard","Henslow, J. S.",1856-02-02,1856-02-02
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Bowerbank, James Scott","Henslow, J. S.",1856-10-14,1856-10-14
"Bowerbank, James Scott","Henslow, J. S.",1856-10-14,1856-10-14
"Bowerbank, James Scott","Henslow, J. S.",1856-10-14,1856-10-14
"Bunbury, E. H.","Henslow, J. S.",1857-07-10,1857-07-10
"Jenyns, Leonard","Henslow, J. S.",1858-11-18,1858-11-18
"Jenyns, Leonard","Henslow, J. S.",1858-11-18,1858-11-18
"Stainton, H. T.","Henslow, J. S.",1859-04-22,1859-04-22
"Charlesworth, Edward","Henslow, J. S.",1859-07-21,1859-07-21
"Henslow, J. S.","Sedgwick, Adam",1860-04-30,1860-04-30
"Skepper, Edmund","Henslow, J. S.",1860-11-15,1860-11-15
"Henslow, J. S.","Sedgwick, Adam",1861-03-14,1861-03-14
