sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Twopeny, Richard","Henslow, J. S.",1823-06-15,1823-06-15
"Stapleton, J. H.","Henslow, J. S.",1826-01-13,1826-01-13
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Palmerston, Lord","Henslow, J. S.",1826-01-19,1826-01-19
"Sulivan, L.","Henslow, J. S.",1826-01-24,1826-01-24
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Clive, W.","Henslow, J. S.",1826-02-22,1826-02-22
"Wilson, Edward","Henslow, J. S.",1827-11-07,1827-11-07
"Leyland, Richard","Henslow, J. S.",1829-02-02,1829-02-02
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Audubon, J. J.","Henslow, J. S.",1831-04-28,1831-04-28
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Calvert, Fred","Henslow, J. S.",1831-08-19,1831-08-19
"Henslow, J. S.","Baxter, William",1834-03-22,1834-03-22
"Horner, Leonard","Henslow, J. S.",1834-10-12,1834-10-12
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Ansted, David Thomas","Henslow, J. S.",1839-12-19,1839-12-19
"Jenyns, Leonard","Henslow, J. S.",1840-07-01,1840-07-01
"Loudon, J. C.","Henslow, J. S.",1843-12-01,1843-12-01
"Henslow, J. S.","Hooker, J. D.",1844-04-18,1844-04-18
"Coleman, Henry","Henslow, J. S.",1846-06-26,1846-06-26
"Henslow, J. S.","Jenyns, Leonard",1847-01-25,1847-01-25
"Henslow, J. S.",Unknown,1847-02-06,1847-02-06
"Henslow, J. S.","Ransome, George",1848-08-21,1848-08-21
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Sedgwick, Adam","Henslow, J. S.",1849-12-23,1849-12-23
"Sedgwick, Adam","Henslow, J. S.",1849-12-23,1849-12-23
"Sedgwick, Adam","Henslow, J. S.",1849-12-23,1849-12-23
"Henslow, J. S.","Jenyns, Leonard",1851-08-10,1851-08-10
"De le Beche, H. T.","Henslow, J. S.",1852-01-07,1852-01-07
"Henslow, J. S.","Balfour, J. H.",1852-04-29,1852-04-29
"Henslow, J. S.","Gould, John.",1853-08-01,1853-08-01
"Henslow, J. S.","Gould, John.",1853-09-29,1853-09-29
" Wood, Searles Valentine","Henslow, J. S.",1853-10-29,1853-10-29
"Bowerbank, James Scott","Henslow, J. S.",1855-01-16,1855-01-16
"Horner, Leonard","Henslow, J. S.",1855-05-05,1855-05-05
"Owen, Richard","Henslow, J. S.",1855-08-15,1855-08-15
"Henslow, J. S.","Martin, Thomas",1855-08-27,1855-08-27
"Horner, Leonard","Henslow, J. S.",1855-09-27,1855-09-27
"Horner, Leonard","Henslow, J. S.",1855-11-18,1855-11-18
"Carpenter, William B.","Henslow, J. S.",1856-04-18,1856-04-18
"Carpenter, William B.","Henslow, J. S.",1856-04-18,1856-04-18
"Longman, William","Henslow, J. S.",1856-09-15,1856-09-15
"Longman, William","Henslow, J. S.",1856-09-15,1856-09-15
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Jenyns, Leonard","Henslow, J. S.",1857-08-04,1857-08-04
"Jenyns, Leonard","Henslow, J. S.",1857-08-04,1857-08-04
"Longman, Thomas","Henslow, J. S.",1857-09-01,1857-09-01
"Henslow, J. S.","Eyton, Thomas Campbell",1858-04-20,1858-04-20
"Henslow, J. S.","Sedgwick, Adam",1858-12-27,1858-12-27
"Henslow, J. S.",Unknown,1859-07-16,1859-07-16
"Henslow, J. S.","Jenyns, Leonard",1860-01-26,1860-01-26
"Christy, Henry","Henslow, J. S.",1860-03-08,1860-03-08
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
