sender,recipient,date,end date
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Henslow, J. S.","Jenyns, Leonard",1827-09-01,1827-09-01
"Henslow, J. S.","Jenyns, Leonard",1827-09-01,1827-09-01
"Henslow, J. S.","Jenyns, Leonard",1828-03-06,1828-03-06
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Stephens, J. F.","Henslow, J. S.",1831-04-12,1831-04-12
"Stephens, J. F.","Henslow, J. S.",1831-04-12,1831-04-12
"Stephens, J. F.","Henslow, J. S.",1831-04-12,1831-04-12
"Stephens, J. F.","Henslow, J. S.",1831-04-12,1831-04-12
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Sclater, Philip Lutley","Henslow, J. S.",1838-07-02,1838-07-02
"Jenyns, Leonard","Henslow, J. S.",1839-07-02,1839-07-02
"Jenyns, Leonard","Henslow, J. S.",1839-07-02,1839-07-02
"Jenyns, Leonard","Henslow, J. S.",1839-07-02,1839-07-02
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1840-01-21,1840-01-21
"Henslow, J. S.","Hutton, William",1840-01-30,1840-01-30
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Jenyns, Leonard","Henslow, J. S.",1840-07-01,1840-07-01
"Henslow, J. S.","Hooker, William Jackson",1845-12-23,1845-12-23
"Henslow, J. S.","Turner, Dawson",1848-10-29,1848-10-29
"Henslow, J. S.","Jenyns, Leonard",1849-08-22,1849-08-22
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Eagle, Francis K.","Henslow, J. S.",1849-11-05,1849-11-05
"Henslow, J. S.","Smith, Charles Roach",1852-03-25,1852-03-25
"Faraday, Michael","Henslow, J. S.",1853-11-05,1853-11-05
"Jardine, William","Henslow, J. S.",1856-03-20,1856-03-20
"Bowerbank, James Scott","Henslow, J. S.",1856-10-14,1856-10-14
"Bowerbank, James Scott","Henslow, J. S.",1856-10-14,1856-10-14
"Bowerbank, James Scott","Henslow, J. S.",1856-10-14,1856-10-14
"Henslow, J. S.","Martin, Thomas",1857-02-09,1857-02-09
"Longman, Thomas","Henslow, J. S.",1857-08-11,1857-08-11
"Longman, Thomas","Henslow, J. S.",1857-09-01,1857-09-01
"Charlesworth, Edward","Henslow, J. S.",1859-07-21,1859-07-21
"Evans, John","Henslow, J. S.",1860-02-10,1860-02-10
"Evans, John","Henslow, J. S.",1860-02-10,1860-02-10
