sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Henslow, J. S.","Jenyns, Leonard",1823-04-02,1823-04-02
"Radius, Justus","Henslow, J. S.",1824-05-28,1824-05-28
"Stephens, J. F.","Henslow, J. S.",1824-07-22,1824-07-22
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Henslow, J. S.",Unknown,1825-07-13,1825-07-13
"Henslow, J. S.","Dale, J. C.",1825-12-10,1825-12-10
"Winch, N. J.","Henslow, J. S.",1826-10-20,1826-10-20
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Wilson, Edward","Henslow, J. S.",1827-11-07,1827-11-07
"Holme, Rev.d J.","Henslow, J. S.",1828-04-08,1828-04-08
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Berkeley, Revd M. J.","Henslow, J. S.",1828-09-22,1828-09-22
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Leyland, Richard","Henslow, J. S.",1828-10-29,1828-10-29
"Dalton, Revd James","Henslow, J. S.",1829-07-28,1829-07-28
"Dalton, Revd James","Henslow, J. S.",1829-07-28,1829-07-28
"Dalton, Revd James","Henslow, J. S.",1829-11-17,1829-11-17
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Christy Jr, William","Henslow, J. S.",1830-10-09,1830-10-09
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Ward, James","Henslow, J. S.",1831-03-21,1831-03-21
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Smith, G. E.","Henslow, J. S.",1831-06-30,1831-06-30
"Wallich, Nathaniel","Henslow, J. S.",1831-11-17,1831-11-17
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Clift, William","Henslow, J. S.",1833-08-24,1833-08-24
"Clift, William","Henslow, J. S.",1833-08-24,1833-08-24
"Henslow, J. S.","Dale, J. C.",1834-02-08,1834-02-08
"Lindley, John","Henslow, J. S.",1834-03-27,1834-03-27
"Henslow, J. S.","Hutton, William",1839-04-18,1839-04-18
"Henslow, J. S.","Hutton, William",1839-04-18,1839-04-18
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Hutton, William",1840-01-18,1840-01-18
"Henslow, J. S.","Hutton, William",1840-01-21,1840-01-21
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Hutton, William",1840-10-24,1840-10-24
"Hooker, J. D.","Henslow, J. S.",1845-11-24,1845-11-24
"Henslow, J. S.","Sulivan, L.",1847-12-13,1847-12-13
"Henslow, J. S.","Ransome, George",1848-08-21,1848-08-21
"Horner, Leonard","Henslow, J. S.",1851-05-10,1851-05-10
"Henslow, J. S.",Printed circular,1851-11-15,1851-11-15
"Henslow, J. S.","Jenyns, Leonard",1851-11-15,1851-11-15
"Henslow, J. S.","Jenyns, Leonard",1851-11-15,1851-11-15
"Henslow, J. S.","Dale, J. C.",1851-12-29,1851-12-29
"De le Beche, H. T.","Henslow, J. S.",1852-01-07,1852-01-07
"De la Beche, H. T.","Henslow, J. S.",1852-02-10,1852-02-10
"Henslow, J. S.","Yates, Miss",1855-05-10,1855-05-10
"Spence, William","Henslow, J. S.",1855-07-12,1855-07-12
"Horner, Leonard","Henslow, J. S.",1857-05-10,1857-05-10
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Carpenter, William B.","Henslow, J. S.",1857-12-27,1857-12-27
"Henslow, J. S.","Eyton, Thomas Campbell",1858-06-08,1858-06-08
"Henslow, J. S.","Sedgwick, Adam",1858-12-27,1858-12-27
"Owen, Richard","Henslow, J. S.",1860-02-04,1860-02-04
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
