sender,recipient,date,end date
"Henslow, J. S.","Jenyns, Leonard",1823-04-08,1823-04-08
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1825-12-09,1825-12-09
"Henslow, S. W.","Henslow, J. S.",1826-01-19,1826-01-19
"Jenyns, G.","Henslow, J. S.",1826-06-04,1826-06-04
"Lowe, R. T.","Henslow, J. S.",1827-03-26,1827-03-26
"Whewell, William","Henslow, J. S.",1831-08-11,1831-08-11
"Henslow, J. S.","Whewell, William",1831-08-14,1831-08-14
"Worsley, W.","Henslow, J. S.",1831-08-28,1831-08-28
"Whewell, William","Henslow, J. S.",1832-07-30,1832-07-30
"Whewell, William","Henslow, J. S.",1832-07-30,1832-07-30
"Jenyns, Leonard","Henslow, J. S.",1839-12-14,1839-12-14
"Jenyns, Leonard","Henslow, J. S.",1842-01-15,1842-01-15
"Henslow, J. S.","Sedgwick, Adam",1845-09-01,1845-09-01
"Henslow, J. S.","Sedgwick, Adam",1845-09-01,1845-09-01
"Henslow, J. S.","Whewell, William",1845-09-20,1845-09-20
"Jenyns, Leonard","Henslow, J. S.",1846-08-11,1846-08-11
"Jenyns, Leonard","Henslow, J. S.",1846-08-11,1846-08-11
"Jenyns, Leonard","Henslow, J. S.",1847-01-06,1847-01-06
"Jenyns, Leonard","Henslow, J. S.",1847-01-06,1847-01-06
"Henslow, J. S.","Jenyns, Leonard",1847-01-25,1847-01-25
"Henslow, J. S.","Whewell, William",1847-08-16,1847-08-16
"Henslow, J. S.","Turner, Dawson",1848-08-17,1848-08-17
"Henslow, J. S.","Jenyns, Leonard",1849-07-28,1849-07-28
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Sedgwick, Adam","Henslow, J. S.",1849-12-23,1849-12-23
"Henslow, J. S.","Jenyns, Leonard",1853-10-24,1853-10-24
"Jenyns, Leonard","Henslow, J. S.",1853-11-03,1853-11-03
"Henslow, J. S.","Jenyns, Leonard",1853-11-07,1853-11-07
"Jenyns, Leonard","Henslow, J. S.",1855-06-27,1855-06-27
"Jenyns, Leonard","Henslow, J. S.",1855-07-02,1855-07-02
"Jenyns, Leonard","Henslow, J. S.",1855-07-02,1855-07-02
"Jenyns, Leonard","Henslow, J. S.",1856-07-01,1856-07-01
"Jenyns, Leonard","Henslow, J. S.",1856-07-01,1856-07-01
"Jenyns, Leonard","Henslow, J. S.",1856-07-01,1856-07-01
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Sedgwick, Adam","Henslow, J. S.",1858-11-06,1858-11-06
"Jenyns, Leonard","Henslow, J. S.",1859-02-17,1859-02-17
"Jenyns, Leonard","Henslow, J. S.",1859-03-12,1859-03-12
"Jenyns, Leonard","Henslow, J. S.",1859-06-03,1859-06-03
"Sedgwick, Adam","Henslow, J. S.",1859-07-12,1859-07-12
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Jenyns, Leonard","Henslow, J. S.",1859-11-21,1859-11-21
"Jenyns, Leonard","Henslow, J. S.",1859-11-21,1859-11-21
"Jenyns, Leonard","Henslow, J. S.",1859-12-31,1859-12-31
"Jenyns, Leonard","Henslow, J. S.",1859-12-31,1859-12-31
"Henslow, J. S.","Jenyns, Leonard",1860-01-26,1860-01-26
"Henslow, J. S.","Hooker, J. D.",1860-04-27,1860-04-27
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-07-18,1860-07-18
"Jenyns, Leonard","Henslow, J. S.",1860-10-03,1860-10-03
"Jenyns, Leonard","Henslow, J. S.",1860-10-03,1860-10-03
"Jenyns, Leonard","Henslow, J. S.",1860-10-03,1860-10-03
