sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Henslow, J. S.","Dale, J. C.",1821-07-02,1821-07-02
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Carrighan, A.","Henslow, J. S.",1826-02-14,1826-02-14
"Griffith, J.","Henslow, J. S.",1826-02-22,1826-02-22
"Wood, J.","Henslow, J. S.",1826-03-01,1826-03-01
"Crawley, R.","Henslow, J. S.",1826-03-12,1826-03-12
"Griffith, J.","Henslow, J. S.",1826-03-18,1826-03-18
"Petts, J.","Henslow, J. S.",1826-06-02,1826-06-02
"Whewell, William","Henslow, J. S.",1826-06-09,1826-06-09
"Wood, J.","Henslow, J. S.",1826-07-02,1826-07-02
"Palmerston, Lord","Henslow, J. S.",1826-07-02,1826-07-02
"Graham, Robert","Henslow, J. S.",1826-11-03,1826-11-03
"Loudon, J. C.","Henslow, J. S.",1828-03-07,1828-03-07
"Power, Revd Joseph","Henslow, J. S.",1828-09-30,1828-09-30
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Wallich, Nathaniel","Henslow, J. S.",1829-12-31,1829-12-31
"Ramsay, E. B.","Henslow, J. S.",1831-08-03,1831-08-03
"Whewell, William","Henslow, J. S.",1831-08-11,1831-08-11
"Wallich, Nathaniel","Henslow, J. S.",1831-11-17,1831-11-17
"Lyell, Charles","Henslow, J. S.",1832-02-15,1832-02-15
"Buckland, William","Henslow, J. S.",1832-12-16,1832-12-16
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Clark, William","Henslow, J. S.",1841-05-22,1841-05-22
"Henslow, J. S.","Herschel, Sir J. F. W.",1843-05-13,1843-05-13
"Henslow, J. S.","Hooker, J. D.",1843-11-22,1843-11-22
"Percy, Hugh","Henslow, J. S.",1846-05-12,1846-05-12
"Henslow, J. S.","Whewell, William",1846-08-28,1846-08-28
"Buckland, William","Henslow, J. S.",1847-11-12,1847-11-12
"Henslow, J. S.","Smyth, William Henry",1849-01-03,1849-01-03
"Bowerbank, James Scott","Henslow, J. S.",1849-06-06,1849-06-06
"Sedgwick, Adam","Henslow, J. S.",1850-02-01,1850-02-01
"Carpenter, Anna","Henslow, J. S.",1850-07-02,1850-07-02
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Owen, Richard","Henslow, J. S.",1852-09-18,1852-09-18
"Forbes, Edward","Henslow, J. S.",1853-07-02,1853-07-02
"Bell, Thomas","Henslow, J. S.",1854-01-15,1854-01-15
"Bell, Thomas","Henslow, J. S.",1854-01-15,1854-01-15
"Latham, R. G.","Henslow, J. S.",1854-03-01,1854-03-01
"Smith, Charles Roach","Henslow, J. S.",1854-10-03,1854-10-03
"Sedgwick, Adam","Henslow, J. S.",1856-06-06,1856-06-06
"Spence, William","Henslow, J. S.",1856-09-25,1856-09-25
"Temple, Frederick","Henslow, J. S.",1856-11-18,1856-11-18
"Carpenter, William B.","Henslow, J. S.",1857-11-21,1857-11-21
"Philpott, Henry","Henslow, J. S.",1858-03-11,1858-03-11
"Sedgwick, Adam","Henslow, J. S.",1858-05-20,1858-05-20
"Brodie, Sir B.","Henslow, J. S.",1858-10-30,1858-10-30
"Jenyns, Leonard","Henslow, J. S.",1859-02-17,1859-02-17
"Evans, John","Henslow, J. S.",1860-01-11,1860-01-11
"Christy, Henry","Henslow, J. S.",1860-03-08,1860-03-08
"Henslow, J. S.","Hooker, J. D.",1860-04-27,1860-04-27
"Henslow, J. S.","Hooker, J. D.",1860-04-27,1860-04-27
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-06-05,1860-06-05
"Jenyns, Leonard","Henslow, J. S.",1860-10-03,1860-10-03
