sender,recipient,date,end date
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
East India House,"Henslow, J. S.",1829-12-31,1829-12-31
"Peacock, George","Henslow, J. S.",1831-08-16,1831-08-16
"Braybrooke, Lord","Henslow, J. S.",1832-01-31,1832-01-31
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Smith, J. J.","Henslow, J. S.",1837-10-16,1837-10-16
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Brown, Robert","Henslow, J. S.",1840-08-10,1840-08-10
"Latham, R. G.","Henslow, J. S.",1842-09-21,1842-09-21
"Owen, Richard","Henslow, J. S.",1842-09-22,1842-09-22
"Henslow, J. S.","Hooker, J. D.",1843-11-22,1843-11-22
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Henslow, J. S.","Babbage, Charles",1848-04-04,1848-04-04
"Henslow, J. S.","Herschel, Sir J. F. W.",1848-11-30,1848-11-30
"Bowerbank, James Scott","Henslow, J. S.",1849-06-06,1849-06-06
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Carpenter, Anna","Henslow, J. S.",1850-07-02,1850-07-02
"Horner, Leonard","Henslow, J. S.",1851-05-10,1851-05-10
"De le Beche, H. T.","Henslow, J. S.",1852-01-07,1852-01-07
"Carpenter, P. P.","Henslow, J. S.",1853-01-21,1853-01-21
"Henslow, J. S.","Gould, John.",1853-09-29,1853-09-29
"Henslow, J. S.","Gould, John.",1853-09-29,1853-09-29
"Henslow, J. S.","Gould, John.",1853-09-29,1853-09-29
"Wood, Searles Valentine","Henslow, J. S.",1853-10-29,1853-10-29
"Wood, Searles Valentine","Henslow, J. S.",1853-10-29,1853-10-29
" Wood, Searles Valentine","Henslow, J. S.",1853-10-29,1853-10-29
" Wood, Searles Valentine","Henslow, J. S.",1853-10-29,1853-10-29
"Henslow, J. S.","Jenyns, Leonard",1853-11-07,1853-11-07
"Wood, Searles Valentine  ","Henslow, J. S.",1853-11-27,1853-11-27
"Owen, Richard","Henslow, J. S.",1853-12-01,1853-12-01
" Wood, Searles Valentine","Henslow, J. S.",1853-12-06,1853-12-06
"Bell, Thomas","Henslow, J. S.",1854-01-15,1854-01-15
"Henslow, J. S.","Gould, John.",1854-06-21,1854-06-21
"Cumming, Joseph George","Henslow, J. S.",1854-08-24,1854-08-24
"Smith, Charles Roach","Henslow, J. S.",1855-03-07,1855-03-07
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Jenyns, Leonard","Henslow, J. S.",1855-06-27,1855-06-27
"Spence, William","Henslow, J. S.",1855-07-12,1855-07-12
"Smith, Charles Roach","Henslow, J. S.",1855-08-01,1855-08-01
"Phillips, John","Henslow, J. S.",1855-10-27,1855-10-27
"Phillips, John","Henslow, J. S.",1856-03-14,1856-03-14
"Henslow, J. S.","Gray, J. E.",1856-03-21,1856-03-21
"Smith, Charles Roach","Henslow, J. S.",1856-03-22,1856-03-22
"Spence, William","Henslow, J. S.",1856-04-25,1856-04-25
"Spence, William","Henslow, J. S.",1856-09-11,1856-09-11
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Playfair, Lyon","Henslow, J. S.",1857-04-15,1857-04-15
"Horner, Leonard","Henslow, J. S.",1857-05-10,1857-05-10
"Reeve, Lovell","Henslow, J. S.",1857-09-19,1857-09-19
"Carpenter, William B.","Henslow, J. S.",1857-12-27,1857-12-27
"Owen, Richard","Henslow, J. S.",1858-03-04,1858-03-04
"Lancester, Edwin","Henslow, J. S.",1858-11-17,1858-11-17
"Stainton, H. T.","Henslow, J. S.",1859-03-04,1859-03-04
"Jenyns, Leonard","Henslow, J. S.",1859-06-03,1859-06-03
"Owen, Richard","Henslow, J. S.",1859-11-30,1859-11-30
"Owen, Richard","Henslow, J. S.",1859-11-30,1859-11-30
"Owen, Richard","Henslow, J. S.",1860-02-02,1860-02-02
"Owen, Richard","Henslow, J. S.",1860-02-02,1860-02-02
"Owen, Richard","Henslow, J. S.",1860-02-04,1860-02-04
"Owen, Richard","Henslow, J. S.",1860-02-07,1860-02-07
"Henslow, J. S.","Hooker, J. D.",1860-03-14,1860-03-14
"Henslow, J. S.","Hooker, J. D.",1860-03-14,1860-03-14
"Rolphe, Robert Mansey ","Henslow, J. S.",1860-10-17,1860-10-17
