sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Sparke (Bishop of Ely), Bowyer","Henslow, J. S.",1824-03-01,1824-03-01
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Radius, Justus","Henslow, J. S.",1825-03-15,1825-03-15
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Palmerston, Lord","Henslow, J. S.",1826-01-09,1826-01-09
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-24,1826-01-24
"Carrighan, A.","Henslow, J. S.",1826-01-25,1826-01-25
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Palmerston, Lord","Henslow, J. S.",1826-02-03,1826-02-03
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Shelford, T.","Henslow, J. S.",1826-02-04,1826-02-04
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Sulivan, L.","Henslow, J. S.",1826-02-09,1826-02-09
"Carrighan, A.","Henslow, J. S.",1826-02-14,1826-02-14
"Tasker, H.","Henslow, J. S.",1826-02-16,1826-02-16
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Griffith, J.","Henslow, J. S.",1826-02-17,1826-02-17
"Carrighan, A.","Henslow, J. S.",1826-02-17,1826-02-17
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Wood, J.","Henslow, J. S.",1826-02-21,1826-02-21
"Wood, J.","Henslow, J. S.",1826-02-26,1826-02-26
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Griffith, J.","Henslow, J. S.",1826-02-28,1826-02-28
"Palmerston, Lord","Henslow, J. S.",1826-02-28,1826-02-28
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Sulivan, L.","Henslow, J. S.",1826-06-03,1826-06-03
"Palmerston, Lord","Henslow, J. S.",1826-06-03,1826-06-03
"Palmerston, Lord","Henslow, J. S.",1826-06-06,1826-06-06
unknown,"Henslow, J. S.",1826-06-08,1826-06-08
unknown,"Henslow, J. S.",1826-06-08,1826-06-08
"Musgrave, T.","Henslow, J. S.",1826-06-10,1826-06-10
"Hustler, W.","Henslow, J. S.",1826-07-02,1826-07-02
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Greville, R. K.","Henslow, J. S.",1827-04-30,1827-04-30
"Henslow, J. S.","Jenyns, Leonard",1827-09-01,1827-09-01
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Henslow, J. S.","Jenyns, Leonard",1828-03-06,1828-03-06
"Henslow, J. S.","Brown, Robert",1828-04-11,1828-04-11
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Radius, Justus","Henslow, J. S.",1828-05-01,1828-05-01
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Berkeley, Revd M. J.","Henslow, J. S.",1828-09-22,1828-09-22
"Lindley, John","Henslow, J. S.",1829-05-12,1829-05-12
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Henslow, J. S.","Winch, N. J.",1830-04-06,1830-04-06
"Henslow, J. S.","Winch, N. J.",1830-04-06,1830-04-06
"Audubon, J. J.","Henslow, J. S.",1830-05-12,1830-05-12
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Buckland, William","Henslow, J. S.",1830-07-06,1830-07-06
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Christy Jr, William","Henslow, J. S.",1830-10-09,1830-10-09
"Smith, G. E.","Henslow, J. S.",1830-12-09,1830-12-09
"Vachell, G. H.","Henslow, J. S.",1830-12-26,1830-12-26
"Vachell, G. H.","Henslow, J. S.",1830-12-26,1830-12-26
"Vachell, G. H.","Henslow, J. S.",1831-01-23,1831-01-23
"Vachell, G. H.","Henslow, J. S.",1831-01-23,1831-01-23
"Vachell, G. H.","Henslow, J. S.",1831-01-30,1831-01-30
"Yarrell, William","Henslow, J. S.",1831-02-08,1831-02-08
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Darwall, Leicester","Henslow, J. S.",1831-04-02,1831-04-02
"Henslow, J. S.","Wilson, William",1831-04-09,1831-04-09
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Henslow, J. S.","Lyell, Charles",1831-06-14,1831-06-14
"Lyell, Charles","Henslow, J. S.",1831-06-18,1831-06-18
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Henslow, J. S.","Daubeny, Charles",1831-10-17,1831-10-17
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Green, Charles","Henslow, J. S.",1831-12-13,1831-12-13
"Lyell, Charles","Henslow, J. S.",1832-02-15,1832-02-15
"Whewell, William","Henslow, J. S.",1832-07-30,1832-07-30
"Brown, Robert","Henslow, J. S.",1833-06-18,1833-06-18
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Henslow, J. S.","Dale, J. C.",1834-02-08,1834-02-08
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Dale, J. C.",1834-03-04,1834-03-04
"Henslow, J. S.","Dale, J. C.",1834-03-04,1834-03-04
"Henslow, J. S.","Baxter, William",1834-03-22,1834-03-22
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Horner, Leonard","Henslow, J. S.",1834-10-12,1834-10-12
"Henslow, J. S.","Dale, J. C.",1834-11-27,1834-11-27
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Audubon, J. J.","Henslow, J. S.",1836-02-02,1836-02-02
"Audubon, J. J.","Henslow, J. S.",1836-02-02,1836-02-02
"Lardner, D.","Henslow, J. S.",1836-03-05,1836-03-05
"Henslow, J. S.","Phillips, John",1836-08-08,1836-08-08
"Henslow, J. S.","Phillips, John",1836-08-08,1836-08-08
