sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1820-01-01,1820-01-01
"Henslow, J. S.","Dale, J. C.",1820-01-01,1820-01-01
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Henslow, J. S.","Dale, J. C.",1821-07-02,1821-07-02
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Twopeny, Richard","Henslow, J. S.",1823-06-15,1823-06-15
"Winch, N. J.","Henslow, J. S.",1823-12-31,1823-12-31
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Lyons, William","Henslow, J. S.",1824-03-12,1824-03-12
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Radius, Justus","Henslow, J. S.",1825-03-15,1825-03-15
"Hooker, William Jackson","Henslow, J. S.",1825-09-09,1825-09-09
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
