sender,recipient,date,end date
"Twopeny, Richard","Henslow, J. S.",1823-06-15,1823-06-15
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Goulburn, Henry","Henslow, J. S.",1825-12-09,1825-12-09
"Jenyns, Leonard","Henslow, J. S.",1825-12-09,1825-12-09
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Copley, J. S.","Henslow, J. S.",1825-12-19,1825-12-19
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Carrighan, A.","Henslow, J. S.",1826-01-01,1826-01-01
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Jones-Loyd, S.","Henslow, J. S.",1826-01-09,1826-01-09
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-17,1826-01-17
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Jenyns, C.","Henslow, J. S.",1826-01-20,1826-01-20
"Wood, J.","Henslow, J. S.",1826-01-22,1826-01-22
"Jenyns, Leonard","Henslow, J. S.",1826-01-23,1826-01-23
"Sulivan, L.","Henslow, J. S.",1826-01-24,1826-01-24
"Croft, J.","Henslow, J. S.",1826-01-27,1826-01-27
"Wood, J.","Henslow, J. S.",1826-02-02,1826-02-02
"Sulivan, L.","Henslow, J. S.",1826-02-03,1826-02-03
"Sulivan, L.","Henslow, J. S.",1826-02-03,1826-02-03
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Palmerston, Lord","Henslow, J. S.",1826-02-03,1826-02-03
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Carrighan, A.","Henslow, J. S.",1826-02-12,1826-02-12
"Carrighan, A.","Henslow, J. S.",1826-02-12,1826-02-12
"Henslow, J. S.","Dale, J. C.",1826-02-14,1826-02-14
"Hornbuckle, T.","Henslow, J. S.",1826-02-17,1826-02-17
"Wood, J.","Henslow, J. S.",1826-02-17,1826-02-17
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Griffith, J.","Henslow, J. S.",1826-02-21,1826-02-21
"Lamb, J.","Henslow, J. S.",1826-03-10,1826-03-10
"Palmerston, Lord","Henslow, J. S.",1826-03-16,1826-03-16
"Palmerston, Lord","Henslow, J. S.",1826-03-16,1826-03-16
"Palmerston, Lord","Henslow, J. S.",1826-04-22,1826-04-22
"Palmerston, Lord","Henslow, J. S.",1826-04-22,1826-04-22
"Sulivan, L.","Henslow, J. S.",1826-05-17,1826-05-17
"Sulivan, L.","Henslow, J. S.",1826-05-17,1826-05-17
"Sulivan, L.","Henslow, J. S.",1826-05-17,1826-05-17
"Palmerston, Lord","Henslow, J. S.",1826-05-28,1826-05-28
"Palmerston, Lord","Henslow, J. S.",1826-06-06,1826-06-06
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Croft, J.","Henslow, J. S.",1826-06-08,1826-06-08
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Smith, J.","Henslow, J. S.",1826-06-08,1826-06-08
"Palmerston, Lord","Henslow, J. S.",1826-06-09,1826-06-09
"Loyd, S.","Henslow, J. S.",1826-06-19,1826-06-19
unknown,"Henslow, J. S.",1826-07-02,1826-07-02
"Wood, J.","Henslow, J. S.",1826-07-02,1826-07-02
"Wood, J.","Henslow, J. S.",1826-07-02,1826-07-02
"Green, Charles","Henslow, J. S.",1826-07-02,1826-07-02
"Ramsay, Marmaduke","Henslow, J. S.",1826-07-02,1826-07-02
"Greville, R. K.","Henslow, J. S.",1827-04-30,1827-04-30
"Greville, R. K.","Henslow, J. S.",1827-11-04,1827-11-04
"Swainson, William","Henslow, J. S.",1828-05-27,1828-05-27
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Radius, Justus","Henslow, J. S.",1828-12-24,1828-12-24
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Stephens, J. F.","Henslow, J. S.",1829-07-09,1829-07-09
"Dalton, Revd James","Henslow, J. S.",1829-10-22,1829-10-22
"Ellacombe, H. T.","Henslow, J. S.",1829-11-30,1829-11-30
"Ellacombe, H. T.","Henslow, J. S.",1829-11-30,1829-11-30
East India House,"Henslow, J. S.",1829-12-31,1829-12-31
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Wallich, Nathaniel","Henslow, J. S.",1830-02-16,1830-02-16
"Wallich, Nathaniel","Henslow, J. S.",1830-02-16,1830-02-16
"Smith, G. E.","Henslow, J. S.",1830-05-10,1830-05-10
"Ellacombe, H. T.","Henslow, J. S.",1830-09-20,1830-09-20
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Vachell, G. H.","Henslow, J. S.",1830-12-26,1830-12-26
"Lindley, John","Henslow, J. S.",1831-01-16,1831-01-16
"Christy Jr, William","Henslow, J. S.",1831-02-26,1831-02-26
"Henslow, J. S.","Winch, N. J.",1831-04-09,1831-04-09
"Wallich, Nathaniel","Henslow, J. S.",1831-04-14,1831-04-14
"Ward, James","Henslow, J. S.",1831-06-15,1831-06-15
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Ramsay, E. B.","Henslow, J. S.",1831-09-03,1831-09-03
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Green, Charles","Henslow, J. S.",1831-12-13,1831-12-13
"Green, Charles","Henslow, J. S.",1831-12-13,1831-12-13
"Green, Charles","Henslow, J. S.",1831-12-13,1831-12-13
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Sperman, W.",1833-10-17,1833-10-17
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Henslow, J. S.","Baxter, William",1837-06-06,1837-06-06
"Faraday, Michael","Henslow, J. S.",1837-06-13,1837-06-13
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Ansted, David Thomas","Henslow, J. S.",1839-12-19,1839-12-19
"Henslow, J. S.","Hutton, William",1840-03-09,1840-03-09
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Jenyns, Leonard","Henslow, J. S.",1842-01-15,1842-01-15
"Henslow, J. S.",British Library Literary Fund,1843-04-05,1843-04-05
"Henslow, J. S.","Hooker, J. D.",1843-12-01,1843-12-01
"Bunbury, Sir H.","Henslow, J. S.",1844-10-09,1844-10-09
"Phillips, John","Henslow, J. S.",1845-04-01,1845-04-01
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Hill, Rowland",1850-02-23,1850-02-23
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Cumming, Joseph George","Henslow, J. S.",1850-10-02,1850-10-02
"Gray, J. E.","Henslow, J. S.",1852-02-18,1852-02-18
"Broome, C. E.","Henslow, J. S.",1852-06-21,1852-06-21
"Wallich, Nathaniel","Henslow, J. S.",1852-11-08,1852-11-08
"Wallich, Nathaniel","Henslow, J. S.",1852-11-08,1852-11-08
"Nithee, W.","Henslow, J. S.",1853-03-29,1853-03-29
