sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Clarke, E. D.","Henslow, J. S.",1821-11-15,1821-11-15
"Henslow, J. S.","Jenyns, Leonard",1823-04-08,1823-04-08
"Whewell, William","Henslow, J. S.",1826-06-09,1826-06-09
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Holme, Rev.d J.","Henslow, J. S.",1828-03-24,1828-03-24
"Holme, Rev.d J.","Henslow, J. S.",1828-03-24,1828-03-24
"Holme, Rev.d J.","Henslow, J. S.",1828-03-24,1828-03-24
"Holme, Rev.d J.","Henslow, J. S.",1828-04-08,1828-04-08
"Holme, Rev.d J.","Henslow, J. S.",1828-04-08,1828-04-08
"Holme, Rev.d J.","Henslow, J. S.",1828-04-08,1828-04-08
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Power, Revd Joseph","Henslow, J. S.",1828-09-30,1828-09-30
"Baxter, William","Henslow, J. S.",1829-02-17,1829-02-17
"Bloxam, Revd Andrew","Henslow, J. S.",1829-10-27,1829-10-27
"Greenough, G. B.","Henslow, J. S.",1830-07-19,1830-07-19
"Ellacombe, H. T.","Henslow, J. S.",1830-09-20,1830-09-20
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Ward, James","Henslow, J. S.",1831-06-15,1831-06-15
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Whewell, William","Henslow, J. S.",1831-08-11,1831-08-11
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Henslow, J. S.","Phillips, John",1832-11-20,1832-11-20
"Henslow, J. S.","Phillips, John",1832-11-20,1832-11-20
"Buckland, William","Henslow, J. S.",1833-01-09,1833-01-09
"Buckland, William","Henslow, J. S.",1833-01-09,1833-01-09
"Henslow, J. S.","Buckland, William",1833-09-05,1833-09-05
"Henslow, J. S.","Buckland, William",1833-09-05,1833-09-05
"Henslow, J. S.","Buckland, William",1833-09-05,1833-09-05
"Henslow, J. S.","Buckland, William",1833-09-05,1833-09-05
"Henslow, J. S.","Buckland, William",1833-09-05,1833-09-05
"Buckland, William","Henslow, J. S.",1833-09-11,1833-09-11
"Buckland, William","Henslow, J. S.",1833-09-11,1833-09-11
"Buckland, William","Henslow, J. S.",1833-09-11,1833-09-11
"Buckland, William","Henslow, J. S.",1833-09-11,1833-09-11
"Henslow, J. S.","Hutton, William",1839-04-18,1839-04-18
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Bowman, J. E.","Henslow, J. S.",1839-09-14,1839-09-14
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Ansted, David Thomas","Henslow, J. S.",1839-12-19,1839-12-19
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Bloxam, Revd Andrew","Henslow, J. S.",1840-01-16,1840-01-16
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Hutton, William",1840-10-24,1840-10-24
"Henslow, J. S.","Hutton, William",1840-10-24,1840-10-24
"Brongniart, Adoplphe-Théodore","Henslow, J. S.",1840-12-12,1840-12-12
"Brongniart, Adoplphe-Théodore","Henslow, J. S.",1840-12-12,1840-12-12
"Brongniart, Adoplphe-Théodore","Henslow, J. S.",1840-12-12,1840-12-12
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Lyell, Charles","Henslow, J. S.",1841-04-10,1841-04-10
"Henslow, J. S.","Sedgwick, Adam",1841-10-05,1841-10-05
"Henslow, J. S.","Sedgwick, Adam",1841-10-05,1841-10-05
"Owen, Richard","Henslow, J. S.",1842-09-22,1842-09-22
"Charlesworth, Edward","Henslow, J. S.",1842-11-11,1842-11-11
"Henslow, J. S.","Sedgwick, Adam ",1843-10-30,1843-10-30
