sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Henslow, J. S.","Dale, J. C.",1821-07-02,1821-07-02
"Clarke, E. D.","Henslow, J. S.",1821-11-15,1821-11-15
"Harrison, George","Henslow, J. S.",1823-04-19,1823-04-19
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Lyons, William","Henslow, J. S.",1824-03-12,1824-03-12
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Radius, Justus","Henslow, J. S.",1825-03-15,1825-03-15
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Palmerston, Lord","Henslow, J. S.",1825-12-30,1825-12-30
"Palmerston, Lord","Henslow, J. S.",1825-12-31,1825-12-31
"Butt Junior, William","Henslow, J. S.",1826-01-01,1826-01-01
"Margetts, W.","Henslow, J. S.",1826-01-05,1826-01-05
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Clive, W.","Henslow, J. S.",1826-01-07,1826-01-07
"Palmerston, Lord","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Lamb, J.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Whitbread, John","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-17,1826-01-17
"Palmerston, Lord","Henslow, J. S.",1826-01-17,1826-01-17
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Jenyns, C.","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Henson, F.","Henslow, J. S.",1826-01-19,1826-01-19
"Henson, F.","Henslow, J. S.",1826-01-19,1826-01-19
"Carrighan, A.","Henslow, J. S.",1826-01-20,1826-01-20
"Palmerston, Lord","Henslow, J. S.",1826-01-20,1826-01-20
"Palmerston, Lord","Henslow, J. S.",1826-01-20,1826-01-20
"Carrighan, A.","Henslow, J. S.",1826-01-21,1826-01-21
"Palmerston, Lord","Henslow, J. S.",1826-01-23,1826-01-23
"Jenyns, Leonard","Henslow, J. S.",1826-01-23,1826-01-23
"Carrighan, A.","Henslow, J. S.",1826-01-24,1826-01-24
"Wood, J.","Henslow, J. S.",1826-01-25,1826-01-25
"Carrighan, A.","Henslow, J. S.",1826-01-25,1826-01-25
"Sulivan, L.","Henslow, J. S.",1826-01-28,1826-01-28
"Sulivan, L.","Henslow, J. S.",1826-01-28,1826-01-28
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Wood, J.","Henslow, J. S.",1826-01-29,1826-01-29
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Sulivan, L.","Henslow, J. S.",1826-02-01,1826-02-01
"Wood, J.","Henslow, J. S.",1826-02-02,1826-02-02
"Sulivan, L.","Henslow, J. S.",1826-02-03,1826-02-03
"Sulivan, L.","Henslow, J. S.",1826-02-03,1826-02-03
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Wood, J.","Henslow, J. S.",1826-02-09,1826-02-09
"Carrighan, A.","Henslow, J. S.",1826-02-14,1826-02-14
"Carrighan, A.","Henslow, J. S.",1826-02-14,1826-02-14
"Henslow, J. S.","Dale, J. C.",1826-02-14,1826-02-14
"Henson, F.","Henslow, J. S.",1826-02-15,1826-02-15
"Henson, F.","Henslow, J. S.",1826-02-15,1826-02-15
"Henson, F.","Henslow, J. S.",1826-02-15,1826-02-15
"Elliot, H. V.","Henslow, J. S.",1826-02-16,1826-02-16
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Carrighan, A.","Henslow, J. S.",1826-02-17,1826-02-17
"Hornbuckle, T.","Henslow, J. S.",1826-02-17,1826-02-17
"Carrighan, A.","Henslow, J. S.",1826-02-17,1826-02-17
"Griffith, J.","Henslow, J. S.",1826-02-17,1826-02-17
"Carrighan, A.","Henslow, J. S.",1826-02-17,1826-02-17
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Palmerston, Lord","Henslow, J. S.",1826-02-28,1826-02-28
"Palmerston, Lord","Henslow, J. S.",1826-03-01,1826-03-01
"Allen, J. T.","Henslow, J. S.",1826-03-07,1826-03-07
"Wood, J.","Henslow, J. S.",1826-03-08,1826-03-08
"Wood, J.","Henslow, J. S.",1826-03-08,1826-03-08
"Spencer, W. P.","Henslow, J. S.",1826-03-11,1826-03-11
"Spencer, W. P.","Henslow, J. S.",1826-03-11,1826-03-11
"Palmerston, Lord","Henslow, J. S.",1826-05-02,1826-05-02
"Tatham, R.","Henslow, J. S.",1826-05-17,1826-05-17
"Petts, J.","Henslow, J. S.",1826-05-30,1826-05-30
"Petts, J.","Henslow, J. S.",1826-05-30,1826-05-30
"Petts, J.","Henslow, J. S.",1826-06-02,1826-06-02
"Petts, J.","Henslow, J. S.",1826-06-02,1826-06-02
"Palmerston, Lord","Henslow, J. S.",1826-06-03,1826-06-03
"Russell, Whitworth","Henslow, J. S.",1826-06-04,1826-06-04
"Russell, Whitworth","Henslow, J. S.",1826-06-04,1826-06-04
unknown,"Henslow, J. S.",1826-06-08,1826-06-08
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Burch, J.","Henslow, J. S.",1826-06-10,1826-06-10
"Burch, J.","Henslow, J. S.",1826-06-10,1826-06-10
"Musgrave, T.","Henslow, J. S.",1826-06-10,1826-06-10
"Musgrave, T.","Henslow, J. S.",1826-06-10,1826-06-10
"Sulivan, L.","Henslow, J. S.",1826-06-10,1826-06-10
"Brand, J.","Henslow, J. S.",1826-06-16,1826-06-16
"Brand, J.","Henslow, J. S.",1826-06-16,1826-06-16
"Caldwell, J.","Henslow, J. S.",1826-06-20,1826-06-20
"Tasker, H.","Henslow, J. S.",1826-07-02,1826-07-02
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Palmerston, Lord","Henslow, J. S.",1826-07-02,1826-07-02
"Hawkinson, R. E.","Henslow, J. S.",1826-08-02,1826-08-02
"Henslow, J. S.","Jenyns, Leonard",1826-10-04,1826-10-04
"Graham, Robert","Henslow, J. S.",1826-11-03,1826-11-03
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Leach, W. E.","Henslow, J. S.",1827-05-31,1827-05-31
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1827-11-04,1827-11-04
"Wilson, Edward","Henslow, J. S.",1827-11-07,1827-11-07
"Peete, William","Henslow, J. S.",1827-12-31,1827-12-31
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Radius, Justus","Henslow, J. S.",1828-12-24,1828-12-24
"Baxter, William","Henslow, J. S.",1829-02-17,1829-02-17
"Lindley, John","Henslow, J. S.",1829-05-12,1829-05-12
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Dalton, Revd James","Henslow, J. S.",1829-07-28,1829-07-28
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Dalton, Revd James","Henslow, J. S.",1829-11-17,1829-11-17
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Arnott, G. A. W.","Henslow, J. S.",1830-03-09,1830-03-09
"Audubon, J. J.","Henslow, J. S.",1830-05-12,1830-05-12
