sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Henslow, J. S.","Dale, J. C.",1821-07-02,1821-07-02
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Jenyns, Leonard","Henslow, J. S.",1824-07-26,1824-07-26
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Goulburn, Henry","Henslow, J. S.",1825-12-09,1825-12-09
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Porter, C.","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Jenyns, C.","Henslow, J. S.",1826-01-20,1826-01-20
"Crawley, R.","Henslow, J. S.",1826-01-25,1826-01-25
"Croft, J.","Henslow, J. S.",1826-01-27,1826-01-27
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Palmerston, Lord","Henslow, J. S.",1826-02-03,1826-02-03
"Shelford, T.","Henslow, J. S.",1826-02-04,1826-02-04
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Palmerston, Lord","Henslow, J. S.",1826-02-08,1826-02-08
"Carrighan, A.","Henslow, J. S.",1826-02-14,1826-02-14
"Henson, F.","Henslow, J. S.",1826-02-15,1826-02-15
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Palmerston, Lord","Henslow, J. S.",1826-03-10,1826-03-10
unknown,"Henslow, J. S.",1826-06-08,1826-06-08
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Leach, W. E.","Henslow, J. S.",1827-05-31,1827-05-31
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Henslow, J. S.","Jenyns, Leonard",1828-03-06,1828-03-06
"Henslow, J. S.","Brown, Robert",1828-04-11,1828-04-11
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Radius, Justus","Henslow, J. S.",1828-05-01,1828-05-01
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Berkeley, Revd M. J.","Henslow, J. S.",1828-09-22,1828-09-22
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Henslow, J. S.","Winch, N. J.",1830-04-06,1830-04-06
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Audubon, J. J.","Henslow, J. S.",1830-05-12,1830-05-12
"Buckland, William","Henslow, J. S.",1830-07-06,1830-07-06
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Lyell, Charles","Henslow, J. S.",1831-06-18,1831-06-18
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Henslow, J. S.","Daubeny, Charles",1831-10-17,1831-10-17
"Green, Charles","Henslow, J. S.",1831-12-13,1831-12-13
"Whewell, William","Henslow, J. S.",1832-07-30,1832-07-30
"Henslow, J. S.","Phillips, John",1832-11-20,1832-11-20
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Henslow, J. S.","Harcourt, William Vernon",1833-08-08,1833-08-08
"Henslow, J. S.","Phillips, John",1833-11-01,1833-11-01
"Henslow, J. S.","Phillips, John",1833-11-01,1833-11-01
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Dale, J. C.",1834-03-04,1834-03-04
"Henslow, J. S.","Dale, J. C.",1834-03-04,1834-03-04
"Henslow, J. S.","Baxter, William",1834-03-22,1834-03-22
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Henslow, J. S.","Dale, J. C.",1834-11-27,1834-11-27
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Lardner, D.","Henslow, J. S.",1836-03-05,1836-03-05
"Henslow, J. S.","Phillips, John",1836-08-08,1836-08-08
"Henslow, J. S.",Geological Society,1836-09-08,1836-09-08
"Talbot, William Henry Fox","Henslow, J. S.",1837-02-21,1837-02-21
"Henslow, J. S.","Baxter, William",1837-06-06,1837-06-06
"Faraday, Michael","Henslow, J. S.",1837-06-13,1837-06-13
"Fitton, William Henry","Henslow, J. S.",1837-12-08,1837-12-08
"Henslow, J. S.","Jardine, William",1838-03-23,1838-03-23
"Henslow, J. S.","Hutton, William",1838-11-25,1838-11-25
"Taylor, John","Henslow, J. S.",1839-04-08,1839-04-08
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1840-01-18,1840-01-18
"Henslow, J. S.","Hutton, William",1840-01-21,1840-01-21
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-03-09,1840-03-09
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-10-24,1840-10-24
"Henslow, J. S.","Whewell, William",1840-10-30,1840-10-30
"Henslow, J. S.","Whewell, William",1840-10-30,1840-10-30
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Owen, Richard","Henslow, J. S.",1842-09-22,1842-09-22
"Powell, Baden","Henslow, J. S.",1842-10-16,1842-10-16
"Braybrooke, Lord","Henslow, J. S.",1843-09-25,1843-09-25
"Henslow, J. S.","Sedgwick, Adam",1843-11-03,1843-11-03
"Henslow, J. S.","Hooker, J. D.",1843-11-22,1843-11-22
"Henslow, J. S.","Hooker, J. D.",1844-04-28,1844-04-28
"Smith, Charles Roach","Henslow, J. S.",1844-07-10,1844-07-10
"Smith, Charles Roach","Henslow, J. S.",1844-07-10,1844-07-10
"Henslow, J. S.","Solly, Edward",1844-08-30,1844-08-30
"Maund, Benjamin","Henslow, J. S.",1845-01-19,1845-01-19
"Henslow, J. S.","Whewell, William",1845-02-06,1845-02-06
"Way, Albert","Henslow, J. S.",1845-07-02,1845-07-02
"Henslow, J. S.","Buckland, William",1845-07-10,1845-07-10
"Henslow, J. S.","Buckland, William",1845-07-10,1845-07-10
"Henslow, J. S.","Martin, Thomas",1845-07-14,1845-07-14
"Bright, John","Henslow, J. S.",1845-12-30,1845-12-30
"Henslow, J. S.","Hooker, J. D.",1846-02-28,1846-02-28
"Henslow, J. S.","Hooker, J. D.",1846-02-28,1846-02-28
"Henslow, J. S.","Whewell, William",1846-08-28,1846-08-28
"Henslow, J. S. ","Hooker, William Jackson",1846-11-20,1846-11-20
"Henslow, J. S.","Sedgwick, Adam",1846-12-03,1846-12-03
"Henslow, J. S.","Sedgwick, Adam",1846-12-03,1846-12-03
