sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Stephens, J. F.","Henslow, J. S.",1824-07-22,1824-07-22
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Winch, N. J.","Henslow, J. S.",1825-12-30,1825-12-30
"Henslow, J. S.","Dale, J. C.",1826-02-14,1826-02-14
"Henslow, J. S.","Dale, J. C.",1826-02-14,1826-02-14
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Henslow, J. S.","Jenyns, Leonard",1826-10-04,1826-10-04
"Winch, N. J.","Henslow, J. S.",1826-10-20,1826-10-20
"Lowe, R. T.","Henslow, J. S.",1827-03-26,1827-03-26
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Curtis, John","Henslow, J. S.",1827-11-27,1827-11-27
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Wilson, Edward","Henslow, J. S.",1828-10-13,1828-10-13
"Leyland, Richard","Henslow, J. S.",1828-10-29,1828-10-29
"Leyland, Richard","Henslow, J. S.",1829-02-02,1829-02-02
"Leyland, Richard","Henslow, J. S.",1829-02-02,1829-02-02
"Lowe, R. T.","Henslow, J. S.",1829-05-06,1829-05-06
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1830-01-12,1830-01-12
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Vachell, G. H.","Henslow, J. S.",1830-12-26,1830-12-26
"Vachell, G. H.","Henslow, J. S.",1830-12-26,1830-12-26
"Grant, George","Henslow, J. S.",1831-03-31,1831-03-31
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Stephens, J. F.","Henslow, J. S.",1831-04-12,1831-04-12
"Dalton, Revd James","Henslow, J. S.",1831-04-12,1831-04-12
"Curtis, John","Henslow, J. S.",1831-04-29,1831-04-29
"Henslow, J. S.","Dale, J. C.",1832-09-22,1832-09-22
"Darwin, E. A.","Henslow, J. S.",1833-01-23,1833-01-23
"Henslow, J. S.","Dale, J. C.",1834-03-04,1834-03-04
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Henslow, J. S.","Dale, J. C.",1834-11-27,1834-11-27
"Henslow, J. S.","Dale, J. C.",1834-11-27,1834-11-27
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Jardine, William","Henslow, J. S.",1837-01-24,1837-01-24
"Jenyns, Leonard","Henslow, J. S.",1839-12-14,1839-12-14
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Herschel, Sir J. F. W.","Henslow, J. S.",1843-05-07,1843-05-07
"Henslow, J. S.","Herschel, Sir J. F. W.",1843-05-13,1843-05-13
"Henslow, J. S.","Herschel, Sir J. F. W.",1843-05-13,1843-05-13
"Henry, Joseph","Henslow, J. S.",1844-04-27,1844-04-27
"Parker, Charles","Henslow, J. S.",1846-12-01,1846-12-01
"Henslow, J. S.","Sedgwick, Adam",1846-12-03,1846-12-03
"Henslow, J. S.",Unknown,1847-01-05,1847-01-05
"Spence, William","Henslow, J. S.",1847-08-18,1847-08-18
"Spence, William","Henslow, J. S.",1847-08-18,1847-08-18
"Spence, William","Henslow, J. S.",1847-08-18,1847-08-18
"Spence, William","Henslow, J. S.",1847-08-18,1847-08-18
"Spence, William","Henslow, J. S.",1847-08-18,1847-08-18
"Spence, William","Henslow, J. S.",1847-08-18,1847-08-18
"Spence, William","Henslow, J. S.",1847-08-18,1847-08-18
"Sedgwick, Adam","Henslow, J. S.",1848-01-01,1848-01-01
"Henslow, J. S.","Jenyns, Leonard",1849-07-28,1849-07-28
"Henslow, J. S.","Jenyns, Leonard",1849-07-28,1849-07-28
"Henslow, J. S.","Jenyns, Leonard",1849-07-28,1849-07-28
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Pollock, Algernon","Henslow, J. S.",1850-02-13,1850-02-13
"Spence, William","Henslow, J. S.",1850-03-19,1850-03-19
"Spence, William","Henslow, J. S.",1850-03-19,1850-03-19
"Spence, William","Henslow, J. S.",1850-03-19,1850-03-19
"Spence, William","Henslow, J. S.",1850-03-19,1850-03-19
"Henslow, J. S.",Printed circular,1851-11-15,1851-11-15
"Henslow, J. S.","Jenyns, Leonard",1851-11-15,1851-11-15
"Curtis, John","Henslow, J. S.",1852-01-19,1852-01-19
"Curtis, John","Henslow, J. S.",1852-01-19,1852-01-19
"Henslow, J. S.","Gould, John.",1853-08-01,1853-08-01
"Henslow, J. S.","Gould, John.",1853-08-01,1853-08-01
"Henslow, J. S.","Gould, John.",1853-08-01,1853-08-01
"Johnston, George","Henslow, J. S.",1853-08-11,1853-08-11
"Henslow, J. S.","Gould, John.",1853-09-29,1853-09-29
"Jenyns, Leonard","Henslow, J. S.",1853-11-03,1853-11-03
"Spence, William","Henslow, J. S.",1855-02-26,1855-02-26
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Bell, Thomas","Henslow, J. S.",1855-07-12,1855-07-12
"Spence, William","Henslow, J. S.",1855-07-12,1855-07-12
"Gray, J. E.","Henslow, J. S.",1855-09-03,1855-09-03
"Gray, J. E.","Henslow, J. S.",1855-09-03,1855-09-03
"Gray, J. E.","Henslow, J. S.",1855-09-03,1855-09-03
"Phillips, John","Henslow, J. S.",1856-03-14,1856-03-14
"Smith, Charles Roach","Henslow, J. S.",1856-03-22,1856-03-22
"Richardson, John","Henslow, J. S.",1856-04-06,1856-04-06
"Spence, William","Henslow, J. S.",1856-06-16,1856-06-16
"Hassall, A. H.","Henslow, J. S.",1856-08-05,1856-08-05
"Stainton, H. T.","Henslow, J. S.",1856-12-22,1856-12-22
"Stainton, H. T.","Henslow, J. S.",1856-12-24,1856-12-24
"Henslow, J. S.","Masters, M. T.",1857-03-12,1857-03-12
"Spence, William","Henslow, J. S.",1857-04-27,1857-04-27
"Spence, William","Henslow, J. S.",1857-04-27,1857-04-27
"Henslow, J. S.","Sedgwick, Adam",1858-12-27,1858-12-27
"Stainton, H. T.","Henslow, J. S.",1859-03-04,1859-03-04
"Stainton, H. T.","Henslow, J. S.",1859-03-04,1859-03-04
"Stainton, H. T.","Henslow, J. S.",1859-04-22,1859-04-22
"Stainton, H. T.","Henslow, J. S.",1859-04-22,1859-04-22
"Stainton, H. T.","Henslow, J. S.",1859-04-22,1859-04-22
"Stainton, H. T.","Henslow, J. S.",1859-07-02,1859-07-02
"Stainton, H. T.","Henslow, J. S.",1859-09-05,1859-09-05
"Stainton, H. T.","Henslow, J. S.",1859-09-28,1859-09-28
"Henslow, J. S.","Hooker, J. D.",1860-04-27,1860-04-27
"Evans, John","Henslow, J. S.",1860-08-24,1860-08-24
