sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Clarke, E. D.","Henslow, J. S.",1821-11-15,1821-11-15
"Harrison, George","Henslow, J. S.",1823-04-19,1823-04-19
"Henslow, J. S.","Winch, N. J.",1823-10-21,1823-10-21
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Hooker, William Jackson","Henslow, J. S.",1825-09-09,1825-09-09
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Carrighan, A.","Henslow, J. S.",1826-01-01,1826-01-01
"Margetts, W.","Henslow, J. S.",1826-01-05,1826-01-05
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-17,1826-01-17
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Jenyns, C.","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Porter, C.","Henslow, J. S.",1826-01-18,1826-01-18
"Palmerston, Lord","Henslow, J. S.",1826-01-19,1826-01-19
"Henson, F.","Henslow, J. S.",1826-01-19,1826-01-19
"Henson, F.","Henslow, J. S.",1826-01-19,1826-01-19
"Carrighan, A.","Henslow, J. S.",1826-01-21,1826-01-21
"Carrighan, A.","Henslow, J. S.",1826-01-21,1826-01-21
"Jenyns, Leonard","Henslow, J. S.",1826-01-23,1826-01-23
"Carrighan, A.","Henslow, J. S.",1826-01-24,1826-01-24
"Wood, J.","Henslow, J. S.",1826-01-24,1826-01-24
"Sulivan, L.","Henslow, J. S.",1826-01-28,1826-01-28
"Lamb, J.","Henslow, J. S.",1826-02-01,1826-02-01
"Sulivan, L.","Henslow, J. S.",1826-02-03,1826-02-03
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Henson, F.","Henslow, J. S.",1826-02-15,1826-02-15
"Henson, F.","Henslow, J. S.",1826-02-15,1826-02-15
"Henson, F.","Henslow, J. S.",1826-02-15,1826-02-15
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Carrighan, A.","Henslow, J. S.",1826-02-17,1826-02-17
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Wood, J.","Henslow, J. S.",1826-03-08,1826-03-08
"Spencer, W. P.","Henslow, J. S.",1826-03-11,1826-03-11
"Howson, J.","Henslow, J. S.",1826-05-30,1826-05-30
"Edwards, O. H.","Henslow, J. S.",1826-05-31,1826-05-31
"Musgrave, T.","Henslow, J. S.",1826-06-10,1826-06-10
"Burch, J.","Henslow, J. S.",1826-06-10,1826-06-10
"Sulivan, L.","Henslow, J. S.",1826-06-10,1826-06-10
"Palmerston, Lord","Henslow, J. S.",1826-07-02,1826-07-02
"Tasker, H.","Henslow, J. S.",1826-07-02,1826-07-02
"Hawkinson, R. E.","Henslow, J. S.",1826-08-02,1826-08-02
"Graham, Robert","Henslow, J. S.",1826-11-03,1826-11-03
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Leach, W. E.","Henslow, J. S.",1827-05-31,1827-05-31
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Baxter, William","Henslow, J. S.",1829-02-17,1829-02-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Henslow, J. S.","Baxter, William ",1830-02-12,1830-02-12
"Arnott, G. A. W.","Henslow, J. S.",1830-03-09,1830-03-09
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Graham, Robert","Henslow, J. S.",1830-07-17,1830-07-17
"Bennett, E. T.","Henslow, J. S.",1830-08-06,1830-08-06
"Christy Jr, William","Henslow, J. S.",1830-10-09,1830-10-09
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Coates, Thomas","Henslow, J. S.",1831-02-25,1831-02-25
"Johnston, George","Henslow, J. S.",1831-06-29,1831-06-29
"Smith, G. E.","Henslow, J. S.",1831-06-30,1831-06-30
"Henslow, J. S.","Daubeny, Charles",1831-10-17,1831-10-17
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Braybrooke, Lord","Henslow, J. S.",1832-01-31,1832-01-31
"Johnston, George","Henslow, J. S.",1832-05-28,1832-05-28
"Henslow, J. S.","Dale, J. C.",1832-08-07,1832-08-07
"Johnston, George","Henslow, J. S.",1832-10-12,1832-10-12
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
