sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Henslow, J. S.","Jenyns, Leonard",1823-04-08,1823-04-08
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Goulburn, Henry","Henslow, J. S.",1825-12-09,1825-12-09
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Palmerston, Lord","Henslow, J. S.",1825-12-13,1825-12-13
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Palmerston, Lord","Henslow, J. S.",1826-01-19,1826-01-19
"Clive, W.","Henslow, J. S.",1826-01-20,1826-01-20
"Carrighan, A.","Henslow, J. S.",1826-01-21,1826-01-21
"Wood, J.","Henslow, J. S.",1826-03-01,1826-03-01
"Proctor, J.","Henslow, J. S.",1826-06-06,1826-06-06
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Sulivan, L.","Henslow, J. S.",1826-06-22,1826-06-22
"Graham, Robert","Henslow, J. S.",1826-11-03,1826-11-03
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Henslow, J. S.","Dale, J. C.",1828-05-02,1828-05-02
"Radius, Justus","Henslow, J. S.",1828-12-24,1828-12-24
"Lindley, John","Henslow, J. S.",1829-05-12,1829-05-12
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Henslow, J. S.","Brown, Robert",1831-03-25,1831-03-25
"Stephens, J. F.","Henslow, J. S.",1831-04-12,1831-04-12
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Ramsay, E. B.","Henslow, J. S.",1831-11-23,1831-11-23
"Green, Charles","Henslow, J. S.",1831-12-13,1831-12-13
"Henslow, J. S.","Dale, J. C.",1832-09-22,1832-09-22
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Henslow, J. S.","Buckland, William",1833-01-10,1833-01-10
"Brown, Robert","Henslow, J. S.",1833-06-18,1833-06-18
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Daubeny, Charles","Henslow, J. S.",1834-01-18,1834-01-18
"Birkbeck, George","Henslow, J. S.",1835-05-13,1835-05-13
"Birkbeck, George","Henslow, J. S.",1835-05-13,1835-05-13
"Simeon, Charles","Henslow, J. S.",1835-05-19,1835-05-19
"Fitton, William Henry","Henslow, J. S.",1837-12-08,1837-12-08
"Brougham, W.","Henslow, J. S.",1838-11-10,1838-11-10
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1840-03-09,1840-03-09
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Jenyns, Leonard","Henslow, J. S.",1840-07-01,1840-07-01
"Henslow, J. S.","Sedgwick, Adam",1841-10-05,1841-10-05
"Roget, Peter Mark","Henslow, J. S.",1842-03-14,1842-03-14
"Roget, Peter Mark","Henslow, J. S.",1842-03-14,1842-03-14
"Whately, Richard","Henslow, J. S.",1842-06-27,1842-06-27
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Goulburn, Henry","Henslow, J. S.",1845-09-09,1845-09-09
"Parker, Charles","Henslow, J. S.",1846-12-01,1846-12-01
"Henslow, J. S.","Martin, Thomas",1848-05-06,1848-05-06
"Cumming, Joseph George","Henslow, J. S.",1848-05-10,1848-05-10
"Henslow, J. S.","Whewell, William",1848-11-16,1848-11-16
"Henslow, J. S.","Herschel, Sir J. F. W.",1848-11-30,1848-11-30
"Henslow, J. S.","Herschel, Sir J. F. W.",1848-11-30,1848-11-30
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Whewell, William","Henslow, J. S.",1849-03-19,1849-03-19
"Horner, Leonard","Henslow, J. S.",1850-08-16,1850-08-16
"Cumming, Joseph George","Henslow, J. S.",1850-10-02,1850-10-02
"Bowerbank, James Scott","Henslow, J. S.",1852-02-03,1852-02-03
"Clark, William","Henslow, J. S.",1852-03-14,1852-03-14
"Henslow, J. S.","Balfour, J. H.",1852-04-29,1852-04-29
"Wallich, Nathaniel","Henslow, J. S.",1852-11-08,1852-11-08
"Wallich, Nathaniel","Henslow, J. S.",1852-11-08,1852-11-08
"Wallich, Nathaniel","Henslow, J. S.",1852-11-08,1852-11-08
"Whewell, William","Henslow, J. S.",1853-04-22,1853-04-22
"Forbes, Edward","Henslow, J. S.",1853-07-02,1853-07-02
"Bunbury, F. J.","Henslow, J. S.",1853-07-16,1853-07-16
"Bunbury, F. J.","Henslow, J. S.",1853-07-16,1853-07-16
"Henslow, J. S.","Martin, Thomas",1853-10-06,1853-10-06
"Bunbury, F. J.","Henslow, J. S.",1853-10-20,1853-10-20
"Jenyns, Leonard","Henslow, J. S.",1853-11-03,1853-11-03
"Dawes, Richard","Henslow, J. S.",1853-12-31,1853-12-31
"Henslow, J. S.","Balfour, J. H.",1854-06-05,1854-06-05
"Horner, Leonard","Henslow, J. S.",1855-05-05,1855-05-05
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Spence, William","Henslow, J. S.",1855-07-12,1855-07-12
"Brodie, Sir B.","Henslow, J. S.",1855-08-24,1855-08-24
"Spence, William","Henslow, J. S.",1855-09-28,1855-09-28
"Horner, Leonard","Henslow, J. S.",1855-11-18,1855-11-18
"Heywood, James","Henslow, J. S.",1855-12-11,1855-12-11
"Colchester, William","Henslow, J. S.",1856-02-21,1856-02-21
"Smith, Charles Roach","Henslow, J. S.",1856-03-15,1856-03-15
"Carpenter, William B.","Henslow, J. S.",1856-04-06,1856-04-06
"Carpenter, William B.","Henslow, J. S.",1856-04-15,1856-04-15
"Carpenter, William B.","Henslow, J. S.",1856-04-18,1856-04-18
"Henslow, J. S.","Martin, Thomas",1856-04-30,1856-04-30
"Carpenter, William B.","Henslow, J. S.",1856-05-12,1856-05-12
"Temple, Frederick","Henslow, J. S.",1856-07-12,1856-07-12
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Belper, Lord","Henslow, J. S.",1856-08-29,1856-08-29
"Belper, Lord","Henslow, J. S.",1856-09-06,1856-09-06
"Belper, Lord","Henslow, J. S.",1856-09-14,1856-09-14
"Campbell, W.","Henslow, J. S.",1856-10-20,1856-10-20
"Bond, H. J. H.","Henslow, J. S.",1856-10-23,1856-10-23
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Carpenter, William B.","Henslow, J. S.",1856-11-13,1856-11-13
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Stainton, H. T.","Henslow, J. S.",1856-12-24,1856-12-24
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Evans, John","Henslow, J. S.",1857-02-07,1857-02-07
"Bunbury, E. H.","Henslow, J. S.",1857-07-10,1857-07-10
"Horner, Leonard","Henslow, J. S.",1857-09-12,1857-09-12
"Patterson, Robert","Henslow, J. S.",1857-09-12,1857-09-12
"Philpott, Henry","Henslow, J. S.",1857-10-01,1857-10-01
"Philpott, Henry","Henslow, J. S.",1857-10-01,1857-10-01
"Henslow, J. S.","Eyton, Thomas Campbell",1858-04-20,1858-04-20
"Philpott, Henry","Henslow, J. S.",1858-04-22,1858-04-22
"Philpott, Henry","Henslow, J. S.",1858-04-22,1858-04-22
"Philpott, Henry","Henslow, J. S.",1858-04-22,1858-04-22
"Henslow, J. S.","Martin, Thomas",1858-05-17,1858-05-17
"Sedgwick, Adam","Henslow, J. S.",1858-11-06,1858-11-06
"Carpenter, William B.","Henslow, J. S.",1858-12-22,1858-12-22
"Sedgwick, Adam","Henslow, J. S.",1858-12-31,1858-12-31
"Sedgwick, Adam","Henslow, J. S.",1858-12-31,1858-12-31
"Ellis, William","Henslow, J. S.",1859-01-15,1859-01-15
"Carpenter, William B.","Henslow, J. S.",1859-02-11,1859-02-11
"Carpenter, William B.","Henslow, J. S.",1859-03-26,1859-03-26
"Carpenter, William B.","Henslow, J. S.",1859-03-26,1859-03-26
"Jenyns, Leonard","Henslow, J. S.",1859-06-03,1859-06-03
"Carpenter, William B.","Henslow, J. S.",1859-08-03,1859-08-03
"Carpenter, William B.","Henslow, J. S.",1859-08-03,1859-08-03
"Carpenter, William B.","Henslow, J. S.",1859-08-03,1859-08-03
"Henslow, J. S.","Martin, Thomas",1859-09-22,1859-09-22
"Carpenter, William B.","Henslow, J. S.",1859-10-11,1859-10-11
"Jenyns, Leonard","Henslow, J. S.",1859-12-31,1859-12-31
"Carpenter, William B.","Henslow, J. S.",1860-02-29,1860-02-29
"Christy, Henry","Henslow, J. S.",1860-03-08,1860-03-08
"Clark, William","Henslow, J. S.",1860-03-13,1860-03-13
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Carpenter, William B.","Henslow, J. S.",1860-03-16,1860-03-16
"Owen, Richard","Henslow, J. S.",1860-04-09,1860-04-09
"Henslow, J. S.","Sedgwick, Adam",1860-04-30,1860-04-30
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Carpenter, William B.","Henslow, J. S.",1860-05-14,1860-05-14
"Jenyns, Leonard","Henslow, J. S.",1860-07-18,1860-07-18
"Bond, H. J. H.","Henslow, J. S.",1860-10-24,1860-10-24
"Bond, H. J. H.","Henslow, J. S.",1860-10-24,1860-10-24
"Bond, H. J. H.","Henslow, J. S.",1860-10-24,1860-10-24
