sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Bankes, William John","Henslow, J. S.",1823-09-18,1823-09-18
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Smirke, E.","Henslow, J. S.",1825-12-04,1825-12-04
"Goulburn, Henry","Henslow, J. S.",1825-12-09,1825-12-09
"Henslow, J. S.","Dale, J. C.",1825-12-10,1825-12-10
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Clive, W.","Henslow, J. S.",1826-01-07,1826-01-07
"Stapleton, J. H.","Henslow, J. S.",1826-01-13,1826-01-13
"Stapleton, J. H.","Henslow, J. S.",1826-01-13,1826-01-13
"Palmerston, Lord","Henslow, J. S.",1826-01-17,1826-01-17
"Palmerston, Lord","Henslow, J. S.",1826-01-19,1826-01-19
"Clive, W.","Henslow, J. S.",1826-01-20,1826-01-20
"Carrighan, A.","Henslow, J. S.",1826-01-21,1826-01-21
"Sulivan, L.","Henslow, J. S.",1826-01-24,1826-01-24
"Sulivan, L.","Henslow, J. S.",1826-01-24,1826-01-24
"Sulivan, L.","Henslow, J. S.",1826-01-24,1826-01-24
"Wood, J.","Henslow, J. S.",1826-01-25,1826-01-25
"Palmerston, Lord","Henslow, J. S.",1826-01-29,1826-01-29
"Wood, J.","Henslow, J. S.",1826-02-02,1826-02-02
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Palmerston, Lord","Henslow, J. S.",1826-02-08,1826-02-08
"Carrighan, A.","Henslow, J. S.",1826-02-12,1826-02-12
"Clive, W.","Henslow, J. S.",1826-02-22,1826-02-22
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Spencer, W. P.","Henslow, J. S.",1826-03-11,1826-03-11
"Crawley, R.","Henslow, J. S.",1826-03-12,1826-03-12
"Griffith, J.","Henslow, J. S.",1826-03-16,1826-03-16
"Griffith, J.","Henslow, J. S.",1826-03-18,1826-03-18
"Proctor, J.","Henslow, J. S.",1826-04-25,1826-04-25
"French, W.","Henslow, J. S.",1826-04-29,1826-04-29
"Proctor, J.","Henslow, J. S.",1826-06-06,1826-06-06
"Palmerston, Lord","Henslow, J. S.",1826-06-06,1826-06-06
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Henslow, J. S.","Dale, J. C.",1828-05-02,1828-05-02
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Power, Revd Joseph","Henslow, J. S.",1828-09-30,1828-09-30
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
