sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1820-01-01,1820-01-01
"Henslow, J. S.","Dale, J. C.",1821-02-28,1821-02-28
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Cumming, James","Henslow, J. S.",1821-07-02,1821-07-02
"Clarke, E. D.","Henslow, J. S.",1821-11-15,1821-11-15
"Henslow, J. S.","Jenyns, Leonard",1823-04-08,1823-04-08
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Margetts, W.","Henslow, J. S.",1826-01-05,1826-01-05
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Palmerston, Lord","Henslow, J. S.",1826-04-22,1826-04-22
"Palmerston, Lord","Henslow, J. S.",1826-05-30,1826-05-30
"Sulivan, L.","Henslow, J. S.",1826-06-02,1826-06-02
"Russell, Whitworth","Henslow, J. S.",1826-06-04,1826-06-04
"Palmerston, Lord","Henslow, J. S.",1826-06-07,1826-06-07
"Whewell, William","Henslow, J. S.",1826-06-09,1826-06-09
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Daubeny, Charles","Henslow, J. S.",1827-01-17,1827-01-17
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Braybrooke, Lord","Henslow, J. S.",1828-03-20,1828-03-20
"Holme, Rev.d J.","Henslow, J. S.",1828-03-24,1828-03-24
"Holme, Rev.d J.","Henslow, J. S.",1828-03-24,1828-03-24
"Holme, Rev.d J.","Henslow, J. S.",1828-03-24,1828-03-24
"Holme, Rev.d J.","Henslow, J. S.",1828-04-08,1828-04-08
"Holme, Rev.d J.","Henslow, J. S.",1828-04-08,1828-04-08
"Holme, Rev.d J.","Henslow, J. S.",1828-04-08,1828-04-08
"Radius, Justus","Henslow, J. S.",1828-05-01,1828-05-01
"Henslow, J. S.","Dale, J. C.",1828-05-02,1828-05-02
"Berkeley, Revd M. J.","Henslow, J. S.",1828-09-22,1828-09-22
