sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Jenyns, Leonard","Henslow, J. S.",1825-12-09,1825-12-09
"Jenyns, Leonard","Henslow, J. S.",1825-12-09,1825-12-09
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Copley, J. S.","Henslow, J. S.",1825-12-19,1825-12-19
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Jones-Loyd, S.","Henslow, J. S.",1826-01-09,1826-01-09
"Palmerston, Lord","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Palmerston, Lord","Henslow, J. S.",1826-05-28,1826-05-28
"Loyd, S.","Henslow, J. S.",1826-06-19,1826-06-19
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Graham, Robert","Henslow, J. S.",1826-11-03,1826-11-03
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Loudon, J. C.","Henslow, J. S.",1828-03-07,1828-03-07
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Marsh, Revd. W.","Henslow, J. S.",1829-03-20,1829-03-20
"Lindley, John","Henslow, J. S.",1829-05-12,1829-05-12
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Henslow, J. S.","Brown, Robert",1831-03-25,1831-03-25
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Ramsay, E. B.","Henslow, J. S.",1831-11-23,1831-11-23
"Johnston, George","Henslow, J. S.",1832-05-28,1832-05-28
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Harcourt, William Vernon",1833-08-08,1833-08-08
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Lardner, D.","Henslow, J. S.",1837-11-20,1837-11-20
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
