sender,recipient,date,end date
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Clive, W.","Henslow, J. S.",1826-01-20,1826-01-20
"Carrighan, A.","Henslow, J. S.",1826-01-21,1826-01-21
"Carrighan, A.","Henslow, J. S.",1826-01-25,1826-01-25
"Croft, J.","Henslow, J. S.",1826-01-27,1826-01-27
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Howson, J.","Henslow, J. S.",1826-05-30,1826-05-30
"Ratliff, W.","Henslow, J. S.",1826-05-30,1826-05-30
"Ratliff, W.","Henslow, J. S.",1826-05-30,1826-05-30
"Warsop, J.","Henslow, J. S.",1826-05-31,1826-05-31
"Edwards, O. H.","Henslow, J. S.",1826-05-31,1826-05-31
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Proctor, J.","Henslow, J. S.",1826-06-06,1826-06-06
"Croft, J.","Henslow, J. S.",1826-06-08,1826-06-08
"Loyd, S.","Henslow, J. S.",1826-06-19,1826-06-19
"Hustler, W.","Henslow, J. S.",1826-07-02,1826-07-02
"Swainson, William","Henslow, J. S.",1826-09-15,1826-09-15
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Henslow, J. S.","Wilson, William",1827-04-17,1827-04-17
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Henslow, J. S.","Jenyns, Leonard",1828-03-06,1828-03-06
"Radius, Justus","Henslow, J. S.",1828-05-01,1828-05-01
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Swainson, William","Henslow, J. S.",1828-05-27,1828-05-27
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Power, Revd Joseph","Henslow, J. S.",1828-09-30,1828-09-30
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Lowe, R. T.","Henslow, J. S.",1830-01-12,1830-01-12
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Graham, Robert","Henslow, J. S.",1830-07-17,1830-07-17
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Christy Jr, William","Henslow, J. S.",1830-10-09,1830-10-09
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Ward, James","Henslow, J. S.",1831-03-21,1831-03-21
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Curtis, John","Henslow, J. S.",1831-04-29,1831-04-29
"Ward, James","Henslow, J. S.",1831-06-15,1831-06-15
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Ramsay, E. B.","Henslow, J. S.",1831-08-11,1831-08-11
"Ramsay, E. B.","Henslow, J. S.",1831-08-16,1831-08-16
"Ramsay, E. B.","Henslow, J. S.",1831-08-16,1831-08-16
"Ramsay, E. B.","Henslow, J. S.",1831-08-16,1831-08-16
"Calvert, Fred","Henslow, J. S.",1831-08-19,1831-08-19
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Henslow, J. S.","Dale, J. C.",1832-09-22,1832-09-22
"Lindley, John","Henslow, J. S.",1834-03-27,1834-03-27
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Henslow, J. S.","Jardine, William",1838-03-23,1838-03-23
"Brougham, W.","Henslow, J. S.",1838-11-10,1838-11-10
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Hutton, William",1840-01-30,1840-01-30
"Jenyns, Leonard","Henslow, J. S.",1840-07-01,1840-07-01
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Owen, Richard","Henslow, J. S.",1842-09-22,1842-09-22
"Smith, Charles Roach","Henslow, J. S.",1844-07-10,1844-07-10
"Mechi, John Joseph","Henslow, J. S.",1844-09-27,1844-09-27
"Morton, John Chalmers","Henslow, J. S.",1844-10-15,1844-10-15
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Henslow, J. S.","Hooker, J. D.",1845-11-15,1845-11-15
"Hooker, J. D.","Henslow, J. S.",1845-11-24,1845-11-24
"Henslow, J. S.","Jenyns, Leonard",1847-01-25,1847-01-25
"Henslow, J. S.","Yates, James",1848-02-17,1848-02-17
"Henslow, J. S.","Airy, George Biddell",1849-11-24,1849-11-24
"Horner, Leonard","Henslow, J. S.",1850-11-20,1850-11-20
"Clark, William","Henslow, J. S.",1852-03-14,1852-03-14
"Lindley, John","Henslow, J. S.",1852-12-31,1852-12-31
" Wood, Searles Valentine","Henslow, J. S.",1853-12-06,1853-12-06
"Dawes, Richard","Henslow, J. S.",1853-12-31,1853-12-31
"Dawes, Richard","Henslow, J. S.",1853-12-31,1853-12-31
"Henslow, J. S.","Whewell, William",1854-03-05,1854-03-05
"Cumming, Joseph George","Henslow, J. S.",1854-08-24,1854-08-24
"Carpenter, P. P.","Henslow, J. S.",1854-11-06,1854-11-06
"Henslow, J. S.","Yates, James",1854-11-29,1854-11-29
"Henslow, J. S.","Airy, George Biddell",1854-12-03,1854-12-03
"Prestwich, Joseph","Henslow, J. S.",1855-07-02,1855-07-02
"Maund, Benjamin","Henslow, J. S.",1856-01-31,1856-01-31
"Belper, Lord","Henslow, J. S.",1856-08-29,1856-08-29
"Carpenter, William B.","Henslow, J. S.",1856-11-13,1856-11-13
