sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1818-12-18,1818-12-18
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Sparke (Bishop of Ely), Bowyer","Henslow, J. S.",1824-03-01,1824-03-01
"Henslow, J. S.","Dale, J. C.",1825-01-23,1825-01-23
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Margetts, W.","Henslow, J. S.",1826-01-05,1826-01-05
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Palmerston, Lord","Henslow, J. S.",1826-02-03,1826-02-03
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Shelford, T.","Henslow, J. S.",1826-02-04,1826-02-04
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Sulivan, L.","Henslow, J. S.",1826-02-09,1826-02-09
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Tasker, H.","Henslow, J. S.",1826-02-16,1826-02-16
"Griffith, J.","Henslow, J. S.",1826-02-17,1826-02-17
"Henslow, J. S.","Dale, J. C.",1826-02-26,1826-02-26
"Wood, J.","Henslow, J. S.",1826-02-26,1826-02-26
"Griffith, J.","Henslow, J. S.",1826-02-28,1826-02-28
"Palmerston, Lord","Henslow, J. S.",1826-02-28,1826-02-28
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Palmerston, Lord","Henslow, J. S.",1826-06-03,1826-06-03
"Palmerston, Lord","Henslow, J. S.",1826-06-06,1826-06-06
unknown,"Henslow, J. S.",1826-06-08,1826-06-08
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Greville, R. K.","Henslow, J. S.",1827-04-30,1827-04-30
"Henslow, J. S.","Jenyns, Leonard",1827-09-01,1827-09-01
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Henslow, J. S.","Jenyns, Leonard",1828-03-06,1828-03-06
"Henslow, J. S.","Brown, Robert",1828-04-11,1828-04-11
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Berkeley, Revd M. J.","Henslow, J. S.",1828-09-22,1828-09-22
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Henslow, J. S.","Winch, N. J.",1830-04-06,1830-04-06
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
