sender,recipient,date,end date
"Harrison, George","Henslow, J. S.",1823-04-19,1823-04-19
"Harrison, George","Henslow, J. S.",1823-04-19,1823-04-19
"Henslow, J. S.","Dale, J. C.",1824-12-30,1824-12-30
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Whewell, William","Henslow, J. S.",1826-06-09,1826-06-09
"Sulivan, L.","Henslow, J. S.",1826-06-10,1826-06-10
"Graham, Robert","Henslow, J. S.",1826-11-03,1826-11-03
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Daubeny, Charles","Henslow, J. S.",1827-01-17,1827-01-17
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1827-11-04,1827-11-04
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Henslow, J. S.","Jenyns, Leonard",1828-03-06,1828-03-06
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Dalton, Revd James","Henslow, J. S.",1829-07-28,1829-07-28
"Children, J. G.","Henslow, J. S.",1829-10-04,1829-10-04
"Children, J. G.","Henslow, J. S.",1829-10-04,1829-10-04
"Dalton, Revd James","Henslow, J. S.",1829-10-22,1829-10-22
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Henslow, J. S.","Baxter, William ",1830-02-12,1830-02-12
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Wallich, Nathaniel","Henslow, J. S.",1831-04-14,1831-04-14
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Calvert, Fred","Henslow, J. S.",1831-08-10,1831-08-10
"Ramsay, E. B.","Henslow, J. S.",1831-08-16,1831-08-16
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Wallich, Nathaniel","Henslow, J. S.",1831-11-17,1831-11-17
"Braybrooke, Lord","Henslow, J. S.",1832-01-31,1832-01-31
"Henslow, J. S.","Havell, Robert",1832-06-01,1832-06-01
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Orr, William","Henslow, J. S.",1833-09-05,1833-09-05
"Henslow, J. S.","Sperman, W.",1833-10-17,1833-10-17
"Henslow, J. S.","Dale, J. C.",1834-02-08,1834-02-08
"Henslow, J. S.","Baxter, William",1834-03-22,1834-03-22
"Henslow, J. S.","Dale, J. C.",1834-11-27,1834-11-27
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Henslow, J. S.","Phillips, John",1836-08-08,1836-08-08
"Henslow, J. S.","Phillips, John",1836-08-08,1836-08-08
"Radius, Justus","Henslow, J. S.",1838-03-30,1838-03-30
"Henslow, J. S.","Hutton, William",1838-11-25,1838-11-25
"Henslow, J. S.","Hutton, William",1838-11-25,1838-11-25
"Henslow, J. S.","Hutton, William",1838-11-25,1838-11-25
"Henslow, J. S.","Hutton, William",1839-04-18,1839-04-18
"Henslow, J. S.","Hutton, William",1839-11-27,1839-11-27
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Bowman, J. E.","Henslow, J. S.",1839-12-09,1839-12-09
"Cary, John","Henslow, J. S.",1840-01-16,1840-01-16
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.",Unknown,1840-07-15,1840-07-15
"Henslow, J. S.",Unknown,1840-07-18,1840-07-18
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henry, Joseph","Henslow, J. S.",1842-10-03,1842-10-03
"Henry, Joseph","Henslow, J. S.",1842-10-03,1842-10-03
"Henslow, J. S.",British Library Literary Fund,1843-04-05,1843-04-05
"Henry, Joseph","Henslow, J. S.",1844-04-27,1844-04-27
"Horner, Leonard","Henslow, J. S.",1845-07-15,1845-07-15
"Goulburn, Henry","Henslow, J. S.",1845-09-09,1845-09-09
"Bright, John","Henslow, J. S.",1845-12-30,1845-12-30
"Henslow, J. S.","Lindley, John",1846-01-16,1846-01-16
"Coleman, Henry","Henslow, J. S.",1846-02-12,1846-02-12
"Coleman, Henry","Henslow, J. S.",1846-02-12,1846-02-12
"Coleman, Henry","Henslow, J. S.",1846-02-12,1846-02-12
"Coleman, Henry","Henslow, J. S.",1846-02-12,1846-02-12
"Jenyns, Leonard","Henslow, J. S.",1847-01-06,1847-01-06
"Henslow, J. S.","Jenyns, Leonard",1847-01-25,1847-01-25
"Henslow, J. S.",Unknown,1847-02-06,1847-02-06
"Sedgwick, Adam","Henslow, J. S.",1850-02-01,1850-02-01
"Spence, William","Henslow, J. S.",1850-03-19,1850-03-19
"Horner, Leonard","Henslow, J. S.",1850-11-20,1850-11-20
"Bowerbank, James Scott","Henslow, J. S.",1852-11-26,1852-11-26
"Henslow, J. S.","Gould, John.",1853-08-01,1853-08-01
"Johnston, George","Henslow, J. S.",1853-08-11,1853-08-11
"Johnston, George","Henslow, J. S.",1853-08-11,1853-08-11
"Henslow, J. S.","Martin, Thomas",1853-10-06,1853-10-06
"Horner, Leonard","Henslow, J. S.",1855-01-20,1855-01-20
