sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Henslow, J. S.","Dale, J. C.",1828-05-02,1828-05-02
"Radius, Justus","Henslow, J. S.",1828-12-24,1828-12-24
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Henslow, J. S.","Brown, Robert",1831-03-25,1831-03-25
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Ramsay, E. B.","Henslow, J. S.",1831-11-23,1831-11-23
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Henslow, J. S.","Dale, J. C.",1832-09-22,1832-09-22
"Birkbeck, George","Henslow, J. S.",1835-05-13,1835-05-13
"Simeon, Charles","Henslow, J. S.",1835-05-19,1835-05-19
"Fitton, William Henry","Henslow, J. S.",1837-12-08,1837-12-08
"Jenyns, Leonard","Henslow, J. S.",1839-07-02,1839-07-02
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1840-03-09,1840-03-09
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Sedgwick, Adam",1841-10-05,1841-10-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henslow, J. S.","Herschel, Sir J. F. W.",1848-03-27,1848-03-27
"Henslow, J. S.","Martin, Thomas",1848-05-06,1848-05-06
"Henslow, J. S.","Whewell, William",1848-11-16,1848-11-16
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Sedgwick, Adam","Henslow, J. S.",1849-12-23,1849-12-23
"Henslow, J. S.","Balfour, J. H.",1852-04-29,1852-04-29
"Whewell, William","Henslow, J. S.",1853-04-22,1853-04-22
"Forbes, Edward","Henslow, J. S.",1853-07-02,1853-07-02
"Henslow, J. S.","Martin, Thomas",1853-10-06,1853-10-06
"Jenyns, Leonard","Henslow, J. S.",1853-11-03,1853-11-03
"Horner, Leonard","Henslow, J. S.",1855-05-05,1855-05-05
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Spence, William","Henslow, J. S.",1855-07-12,1855-07-12
"Horner, Leonard","Henslow, J. S.",1855-11-18,1855-11-18
"Horner, Leonard","Henslow, J. S.",1855-11-18,1855-11-18
"Henslow, J. S.","Martin, Thomas",1856-04-30,1856-04-30
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Stainton, H. T.","Henslow, J. S.",1856-12-24,1856-12-24
"Evans, John","Henslow, J. S.",1857-02-07,1857-02-07
"Patterson, Robert","Henslow, J. S.",1857-09-12,1857-09-12
"Horner, Leonard","Henslow, J. S.",1857-09-12,1857-09-12
"Philpott, Henry","Henslow, J. S.",1857-10-01,1857-10-01
"Henslow, J. S.","Eyton, Thomas Campbell",1858-04-20,1858-04-20
"Ellis, William","Henslow, J. S.",1859-01-15,1859-01-15
"Jenyns, Leonard","Henslow, J. S.",1859-06-03,1859-06-03
"Carpenter, William B.","Henslow, J. S.",1859-08-03,1859-08-03
"Henslow, J. S.","Martin, Thomas",1859-09-22,1859-09-22
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Henslow, J. S.","Sedgwick, Adam",1860-04-30,1860-04-30
"Henslow, J. S.","Sedgwick, Adam",1860-04-30,1860-04-30
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Jenyns, Leonard","Henslow, J. S.",1860-07-18,1860-07-18
