sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Henslow, J. S.","Jenyns, Leonard",1822-12-16,1822-12-16
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Robarts, John","Henslow, J. S.",1825-10-15,1825-10-15
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Henslow, J. S.","Winch, N. J.",1825-12-09,1825-12-09
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Brougham, W.","Henslow, J. S.",1825-12-20,1825-12-20
"Winch, N. J.","Henslow, J. S.",1825-12-30,1825-12-30
"Margetts, W.","Henslow, J. S.",1826-01-05,1826-01-05
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Hildyard, R. C.","Henslow, J. S.",1826-01-09,1826-01-09
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Clive, W.","Henslow, J. S.",1826-01-20,1826-01-20
"Carrighan, A.","Henslow, J. S.",1826-01-25,1826-01-25
"Crawley, R.","Henslow, J. S.",1826-01-25,1826-01-25
"Crawley, R.","Henslow, J. S.",1826-01-25,1826-01-25
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Crawley, R.","Henslow, J. S.",1826-03-12,1826-03-12
"Crawley, R.","Henslow, J. S.",1826-03-12,1826-03-12
"Howson, J.","Henslow, J. S.",1826-05-30,1826-05-30
"Rance, M.","Henslow, J. S.",1826-05-30,1826-05-30
"Ratliff, W.","Henslow, J. S.",1826-05-30,1826-05-30
"Ratliff, W.","Henslow, J. S.",1826-05-30,1826-05-30
"Edwards, O. H.","Henslow, J. S.",1826-05-31,1826-05-31
"Warsop, J.","Henslow, J. S.",1826-05-31,1826-05-31
"Warsop, J.","Henslow, J. S.",1826-05-31,1826-05-31
"Warsop, J.","Henslow, J. S.",1826-05-31,1826-05-31
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Petts, J.","Henslow, J. S.",1826-06-02,1826-06-02
"Petts, J.","Henslow, J. S.",1826-06-02,1826-06-02
"Proctor, J.","Henslow, J. S.",1826-06-06,1826-06-06
"Palmerston, Lord","Henslow, J. S.",1826-06-09,1826-06-09
"Loyd, S.","Henslow, J. S.",1826-06-19,1826-06-19
Unknown,"Henslow, J. S.",1826-07-02,1826-07-02
"Ramsay, Marmaduke","Henslow, J. S.",1826-07-02,1826-07-02
"Swainson, William","Henslow, J. S.",1826-09-15,1826-09-15
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Henslow, J. S.","Wilson, William",1827-04-17,1827-04-17
"Henslow, J. S.","Dale, J. C.",1828-01-10,1828-01-10
"Henslow, J. S.","Jenyns, Leonard",1828-03-06,1828-03-06
"Leefe, J. E.","Henslow, J. S.",1828-05-05,1828-05-05
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Swainson, William","Henslow, J. S.",1828-05-27,1828-05-27
"Greville, R. K.","Henslow, J. S.",1828-09-09,1828-09-09
"Power, Revd Joseph","Henslow, J. S.",1828-09-30,1828-09-30
"Leyland, Richard","Henslow, J. S.",1828-10-29,1828-10-29
"Radius, Justus","Henslow, J. S.",1828-12-24,1828-12-24
"Baxter, William","Henslow, J. S.",1829-02-17,1829-02-17
"Marsh, Revd. W.","Henslow, J. S.",1829-03-20,1829-03-20
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Dalton, Revd James","Henslow, J. S.",1830-04-11,1830-04-11
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Christy Jr, William","Henslow, J. S.",1830-10-09,1830-10-09
"Lindley, John","Henslow, J. S.",1831-01-28,1831-01-28
"Vachell, G. H.","Henslow, J. S.",1831-01-30,1831-01-30
"Ward, James","Henslow, J. S.",1831-03-21,1831-03-21
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Wallich, Nathaniel","Henslow, J. S.",1831-04-14,1831-04-14
"Curtis, John","Henslow, J. S.",1831-04-29,1831-04-29
"Ward, James","Henslow, J. S.",1831-06-15,1831-06-15
"Calvert, Fred","Henslow, J. S.",1831-08-19,1831-08-19
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Henslow, J. S.","Dale, J. C.",1832-09-22,1832-09-22
"Lindley, John","Henslow, J. S.",1834-03-27,1834-03-27
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Audubon, J. J.","Henslow, J. S.",1836-02-02,1836-02-02
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Jardine, William","Henslow, J. S.",1836-02-10,1836-02-10
"Henslow, J. S.","Jardine, William",1838-03-23,1838-03-23
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Hutton, William",1840-01-30,1840-01-30
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Jenyns, Leonard","Henslow, J. S.",1840-07-01,1840-07-01
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Owen, Richard","Henslow, J. S.",1842-09-22,1842-09-22
"Morton, John Chalmers","Henslow, J. S.",1844-10-15,1844-10-15
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Henslow, J. S.","Hooker, J. D.",1845-11-15,1845-11-15
"Hooker, J. D.","Henslow, J. S.",1845-11-24,1845-11-24
"Henslow, J. S.","Yates, James",1848-02-17,1848-02-17
"Henslow, J. S.","Herschel, Sir J. F. W.",1848-11-30,1848-11-30
"Henslow, J. S.","Jenyns, Leonard",1849-08-22,1849-08-22
"Henslow, J. S.","Jenyns, Leonard",1849-08-22,1849-08-22
"Henslow, J. S.","Airy, George Biddell",1849-11-24,1849-11-24
