sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Dale, J. C.",1821-07-02,1821-07-02
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Sulivan, L.","Henslow, J. S.",1826-02-09,1826-02-09
"Henslow, J. S.","Dale, J. C.",1826-02-14,1826-02-14
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Hornbuckle, T.","Henslow, J. S.",1826-02-17,1826-02-17
"Griffith, J.","Henslow, J. S.",1826-02-17,1826-02-17
"Wood, J.","Henslow, J. S.",1826-02-26,1826-02-26
"Sulivan, L.","Henslow, J. S.",1826-06-03,1826-06-03
"Palmerston, Lord","Henslow, J. S.",1826-06-03,1826-06-03
"Musgrave, T.","Henslow, J. S.",1826-06-10,1826-06-10
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Greville, R. K.","Henslow, J. S.",1827-04-30,1827-04-30
"Leach, W. E.","Henslow, J. S.",1827-05-31,1827-05-31
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1827-11-04,1827-11-04
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Swainson, William","Henslow, J. S.",1828-05-27,1828-05-27
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Smith, G. E.","Henslow, J. S.",1830-12-09,1830-12-09
"Vachell, G. H.","Henslow, J. S.",1830-12-26,1830-12-26
"Vachell, G. H.","Henslow, J. S.",1830-12-26,1830-12-26
"Vachell, G. H.","Henslow, J. S.",1831-01-23,1831-01-23
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Yarrell, William","Henslow, J. S.",1831-02-08,1831-02-08
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Christy Jr, William","Henslow, J. S.",1831-02-26,1831-02-26
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Henslow, J. S.","Wilson, William",1831-04-09,1831-04-09
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Christy Jr, William","Henslow, J. S.",1831-05-06,1831-05-06
"Henslow, J. S.","Lyell, Charles",1831-06-14,1831-06-14
"Johnston, George","Henslow, J. S.",1831-06-29,1831-06-29
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Biggs, Arthur","Henslow, J. S.",1831-12-08,1831-12-08
"Lyell, Charles","Henslow, J. S.",1832-02-15,1832-02-15
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Henslow, J. S.","Dale, J. C.",1834-02-08,1834-02-08
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Brewster, David","Henslow, J. S.",1834-11-07,1834-11-07
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Audubon, J. J.","Henslow, J. S.",1836-02-02,1836-02-02
"Jenyns, Leonard","Henslow, J. S.",1839-07-02,1839-07-02
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henslow, J. S.","Hutton, William",1840-01-30,1840-01-30
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Jenyns, Leonard","Henslow, J. S.",1840-07-01,1840-07-01
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Herschel, Sir J. F. W.","Henslow, J. S.",1843-05-07,1843-05-07
"Henslow, J. S.","Buckland, William",1845-07-10,1845-07-10
"Horner Lyell, Mary","Henslow, J. S.",1846-01-15,1846-01-15
"Henslow, J. S.","Whewell, William",1846-08-28,1846-08-28
"Bunbury, C. J. F.","Henslow, J. S.",1847-02-03,1847-02-03
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Pollock, Algernon","Henslow, J. S.",1851-02-19,1851-02-19
"Phillips, John","Henslow, J. S.",1851-06-06,1851-06-06
"Moseley, Henry","Henslow, J. S.",1852-02-16,1852-02-16
"Moseley, Henry","Henslow, J. S.",1852-02-21,1852-02-21
"Horner, Leonard","Henslow, J. S.",1852-08-08,1852-08-08
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Wollaston, T.V.","Henslow, J. S.",1852-12-31,1852-12-31
"Bunbury, F. J.","Henslow, J. S.",1853-10-20,1853-10-20
"Bunbury, F. J.","Henslow, J. S.",1853-10-20,1853-10-20
"Henslow, J. S.","Willis, Robert",1853-12-24,1853-12-24
"Thirlwall, Connop","Henslow, J. S.",1854-01-15,1854-01-15
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Jenyns, Leonard","Henslow, J. S.",1856-07-01,1856-07-01
"Temple, Frederick","Henslow, J. S.",1856-07-12,1856-07-12
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Belper, Lord","Henslow, J. S.",1856-08-29,1856-08-29
"Campbell, W.","Henslow, J. S.",1856-10-20,1856-10-20
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Owen, Richard","Henslow, J. S.",1857-01-26,1857-01-26
"Henslow, J. S.","Martin, Thomas",1857-02-09,1857-02-09
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Carpenter, William B.","Henslow, J. S.",1857-12-27,1857-12-27
"Jenyns, Leonard","Henslow, J. S.",1858-07-02,1858-07-02
"Sedgwick, Adam","Henslow, J. S.",1858-11-06,1858-11-06
"Carpenter, William B.","Henslow, J. S.",1858-12-22,1858-12-22
"Carpenter, William B.","Henslow, J. S.",1859-02-11,1859-02-11
"Jenyns, Leonard","Henslow, J. S.",1859-02-17,1859-02-17
"Charlesworth, Edward","Henslow, J. S.",1859-07-21,1859-07-21
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Carpenter, William B.","Henslow, J. S.",1860-05-14,1860-05-14
