sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-01-01,1820-01-01
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-25,1826-01-25
"Wood, J.","Henslow, J. S.",1826-01-25,1826-01-25
"Palmerston, Lord","Henslow, J. S.",1826-01-29,1826-01-29
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Allen, J. T.","Henslow, J. S.",1826-03-07,1826-03-07
"Wood, J.","Henslow, J. S.",1826-03-08,1826-03-08
"Lamb, J.","Henslow, J. S.",1826-03-10,1826-03-10
"Spencer, W. P.","Henslow, J. S.",1826-03-11,1826-03-11
"Loyd, S.","Henslow, J. S.",1826-06-19,1826-06-19
"Sulivan, L.","Henslow, J. S.",1826-06-22,1826-06-22
"Vince, S. B.","Henslow, J. S.",1826-07-02,1826-07-02
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Lamb, J.","Henslow, J. S.",1826-07-02,1826-07-02
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Leefe, J. E.","Henslow, J. S.",1828-05-05,1828-05-05
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Audubon, J. J.","Henslow, J. S.",1830-05-12,1830-05-12
"Bennett, E. T.","Henslow, J. S.",1830-08-06,1830-08-06
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Lowe, R. T.","Henslow, J. S.",1830-08-22,1830-08-22
"Henslow, J. S.","Brown, Robert",1831-01-01,1831-01-01
"Audubon, J. J.","Henslow, J. S.",1831-04-28,1831-04-28
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Brown, Robert","Henslow, J. S.",1833-06-18,1833-06-18
"Henslow, J. S.","Harcourt, William Vernon",1833-08-08,1833-08-08
"Clift, William","Henslow, J. S.",1833-08-24,1833-08-24
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Audubon, J. J.","Henslow, J. S.",1835-01-30,1835-01-30
"Audubon, J. J.","Henslow, J. S. ",1836-01-13,1836-01-13
"Jenyns, Leonard","Henslow, J. S.",1839-12-14,1839-12-14
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Clark, William","Henslow, J. S.",1841-05-22,1841-05-22
"Powell, Baden","Henslow, J. S.",1842-10-16,1842-10-16
"Henslow, J. S.","Hooker, J. D.",1843-11-22,1843-11-22
"Henry, Joseph","Henslow, J. S.",1844-04-27,1844-04-27
"Way, Albert","Henslow, J. S.",1846-02-18,1846-02-18
"Coleman, Henry","Henslow, J. S.",1846-06-26,1846-06-26
"Henslow, J. S.","Martin, Thomas",1848-06-20,1848-06-20
"Henslow, J. S.","Bowerbank, James Scott",1848-10-20,1848-10-20
"Henslow, J. S.","Smyth, William Henry",1849-01-03,1849-01-03
"Bowerbank, James Scott","Henslow, J. S.",1849-01-09,1849-01-09
"Bowerbank, James Scott","Henslow, J. S.",1849-01-09,1849-01-09
"Henslow, J. S.","Jenyns, Leonard",1849-07-28,1849-07-28
"Henslow, J. S.",Unknown,1849-12-08,1849-12-08
"Sedgwick, Adam","Henslow, J. S.",1849-12-23,1849-12-23
"Sedgwick, Adam","Henslow, J. S.",1850-02-01,1850-02-01
"Sabine, Edward","Henslow, J. S.",1850-06-18,1850-06-18
"Romilly, Joseph","Henslow, J. S.",1850-08-29,1850-08-29
"Henslow, J. S.","Whewell, William",1850-11-08,1850-11-08
"Owen, Richard","Henslow, J. S.",1851-09-19,1851-09-19
"Moseley, Henry","Henslow, J. S.",1852-02-19,1852-02-19
"Henslow, J. S.","Babbage, Charles",1852-03-07,1852-03-07
"Henslow, J. S.","Martin, Thomas",1852-06-08,1852-06-08
"Owen, Richard","Henslow, J. S.",1852-09-18,1852-09-18
"Moseley, Henry","Henslow, J. S.",1852-09-23,1852-09-23
"Wollaston, T.V.","Henslow, J. S.",1852-12-31,1852-12-31
"Whewell, William","Henslow, J. S.",1853-11-24,1853-11-24
"Bell, Thomas","Henslow, J. S.",1854-01-15,1854-01-15
"Latham, R. G.","Henslow, J. S.",1854-03-01,1854-03-01
"Henslow, J. S.","Martin, Thomas",1854-07-25,1854-07-25
"Henslow, J. S.","Ansted, David Thomas",1854-09-04,1854-09-04
"Bell, Thomas","Henslow, J. S.",1855-05-04,1855-05-04
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Spence, William","Henslow, J. S.",1855-09-28,1855-09-28
"Horner, Leonard","Henslow, J. S.",1855-11-18,1855-11-18
"Hall, S. C.","Henslow, J. S.",1856-02-02,1856-02-02
"Phillips, John","Henslow, J. S.",1856-03-14,1856-03-14
"Jenyns, Leonard","Henslow, J. S.",1856-07-01,1856-07-01
"Campbell, W.","Henslow, J. S.",1856-10-20,1856-10-20
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Temple, Frederick","Henslow, J. S.",1857-09-12,1857-09-12
"Carpenter, William B.","Henslow, J. S.",1857-11-13,1857-11-13
"Carpenter, William B.","Henslow, J. S.",1857-11-13,1857-11-13
"Carpenter, William B.","Henslow, J. S.",1857-11-13,1857-11-13
"Sedgwick, Adam","Henslow, J. S.",1858-05-20,1858-05-20
"Sedgwick, Adam","Henslow, J. S.",1858-11-06,1858-11-06
"Lancester, Edwin","Henslow, J. S.",1858-11-17,1858-11-17
"Lancester, Edwin","Henslow, J. S.",1858-11-17,1858-11-17
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
