sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1819-12-17,1819-12-17
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Henslow, J. S.","Jenyns, Leonard",1823-04-08,1823-04-08
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Sparke (Bishop of Ely), Bowyer","Henslow, J. S.",1824-03-01,1824-03-01
"Stephens, J. F.","Henslow, J. S.",1824-07-22,1824-07-22
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Twopeny, Richard","Henslow, J. S.",1825-11-16,1825-11-16
"Jenyns, Leonard","Henslow, J. S.",1825-12-09,1825-12-09
"Jenyns, Leonard","Henslow, J. S.",1825-12-09,1825-12-09
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Henslow, J. S.","Wilson, William",1827-04-17,1827-04-17
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Loudon, J. C.","Henslow, J. S.",1828-03-07,1828-03-07
"Lindley, John","Henslow, J. S.",1829-05-12,1829-05-12
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Vachell, G. H.","Henslow, J. S.",1830-01-26,1830-01-26
"Audubon, J. J.","Henslow, J. S.",1830-05-12,1830-05-12
"Christy Jr, William","Henslow, J. S.",1830-10-09,1830-10-09
"Smith, G. E.","Henslow, J. S.",1830-12-09,1830-12-09
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Ramsay, E. B.","Henslow, J. S.",1831-11-23,1831-11-23
"Braybrooke, Lord","Henslow, J. S.",1832-02-10,1832-02-10
"Johnston, George","Henslow, J. S.",1832-05-28,1832-05-28
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Phillips, John",1833-07-02,1833-07-02
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Clift, William","Henslow, J. S.",1833-08-24,1833-08-24
"Lardner, D.","Henslow, J. S.",1837-11-20,1837-11-20
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
