sender,recipient,date,end date
"Henslow, J. S.","Geological Society, Editor",1821-05-31,1821-05-31
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Henslow, J. S.","Dale, J. C.",1825-12-10,1825-12-10
"Winch, N. J.","Henslow, J. S.",1825-12-30,1825-12-30
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Sulivan, L.","Henslow, J. S.",1826-01-18,1826-01-18
"Henslow, S. W.","Henslow, J. S.",1826-01-19,1826-01-19
"Clive, W.","Henslow, J. S.",1826-01-20,1826-01-20
"Jenyns, C.","Henslow, J. S.",1826-01-20,1826-01-20
"Carrighan, A.","Henslow, J. S.",1826-01-21,1826-01-21
"Palmerston, Lord","Henslow, J. S.",1826-01-25,1826-01-25
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Wood, J.","Henslow, J. S.",1826-01-31,1826-01-31
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Palmerston, Lord","Henslow, J. S.",1826-05-22,1826-05-22
"Sulivan, L.","Henslow, J. S.",1826-06-03,1826-06-03
"Ramsay, Marmaduke","Henslow, J. S.",1826-07-02,1826-07-02
"Thackeray, George","Henslow, J. S.",1826-07-02,1826-07-02
"Vince, S. B.","Henslow, J. S.",1826-07-02,1826-07-02
"Henslow, J. S.","Jenyns, Leonard",1826-10-04,1826-10-04
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-11-04,1827-11-04
"Braybrooke, Lord","Henslow, J. S.",1828-03-20,1828-03-20
"Power, Revd Joseph","Henslow, J. S.",1828-09-30,1828-09-30
"Marsh, Revd. W.","Henslow, J. S.",1829-03-20,1829-03-20
"Stephens, J. F.","Henslow, J. S.",1829-07-09,1829-07-09
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Lowe, R. T.","Henslow, J. S.",1829-11-27,1829-11-27
"Swainson, William","Henslow, J. S.",1829-12-11,1829-12-11
"Buckland, William","Henslow, J. S.",1830-07-06,1830-07-06
"Wilson, Edward","Henslow, J. S.",1831-01-03,1831-01-03
"Smith, G. E.","Henslow, J. S.",1831-04-06,1831-04-06
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Ward, James","Henslow, J. S.",1831-06-15,1831-06-15
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Whewell, William","Henslow, J. S.",1832-07-30,1832-07-30
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Buckland, William","Henslow, J. S.",1833-01-09,1833-01-09
"Henslow, J. S.","Buckland, William",1833-01-10,1833-01-10
"Henslow, J. S.","Jerdan, William",1833-07-11,1833-07-11
"Harcourt, W. J.","Henslow, J. S.",1833-07-29,1833-07-29
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Yate, Charles","Henslow, J. S.",1837-11-10,1837-11-10
"Henslow, J. S.","Hutton, William",1838-11-25,1838-11-25
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Henslow, J. S.","Sedgwick, Adam",1839-12-13,1839-12-13
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1840-01-18,1840-01-18
"Henslow, J. S.","Hutton, William",1840-02-24,1840-02-24
"Henslow, J. S.","Hutton, William",1840-03-09,1840-03-09
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Bowman, J. E.","Henslow, J. S.",1841-03-01,1841-03-01
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Herschel, Sir J. F. W.","Henslow, J. S.",1843-05-07,1843-05-07
"Henslow, J. S.","Solly, Edward",1844-08-30,1844-08-30
"Morton, John Chalmers","Henslow, J. S.",1844-10-15,1844-10-15
"Maund, Benjamin","Henslow, J. S.",1845-01-19,1845-01-19
"Henslow, J. S.","Sedgwick, Adam",1845-09-01,1845-09-01
"Henslow, J. S.","Whewell, William",1845-09-20,1845-09-20
"Henslow, J. S.","Jenyns, Leonard",1847-01-25,1847-01-25
"Henslow, J. S.","Yates, James",1848-02-17,1848-02-17
"Henslow, J. S.","Smyth, William Henry",1849-01-03,1849-01-03
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Jenyns, Leonard",1849-07-28,1849-07-28
"Henslow, J. S.","Jenyns, Leonard",1849-08-22,1849-08-22
"Airy, George Biddell","Henslow, J. S.",1849-11-30,1849-11-30
"Hibgame, Edward","Henslow, J. S.",1849-12-31,1849-12-31
"Bell, Thomas","Henslow, J. S.",1850-01-04,1850-01-04
"Henslow, J. S.","Hill, Rowland",1850-03-09,1850-03-09
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Zinoke, Barham","Henslow, J. S.",1850-07-19,1850-07-19
"Zinoke, Barham","Henslow, J. S.",1850-07-19,1850-07-19
"Horner, Leonard","Henslow, J. S.",1850-11-20,1850-11-20
"Almack, Richard","Henslow, J. S.",1851-01-23,1851-01-23
"Longman, William","Henslow, J. S.",1852-07-10,1852-07-10
"Owen, Richard","Henslow, J. S.",1852-09-18,1852-09-18
"Carpenter, P. P.","Henslow, J. S.",1853-01-21,1853-01-21
"Whewell, William","Henslow, J. S.",1853-04-22,1853-04-22
"Miller, W. H.","Henslow, J. S.",1853-10-25,1853-10-25
"Henslow, J. S.","Martin, Thomas",1854-08-02,1854-08-02
"Smith, Charles Roach","Henslow, J. S.",1854-10-03,1854-10-03
"Prestwich, Joseph","Henslow, J. S.",1855-01-23,1855-01-23
"Smith, Charles Roach","Henslow, J. S.",1855-08-01,1855-08-01
"Phillips, John","Henslow, J. S.",1855-10-27,1855-10-27
"Billing, Archibald","Henslow, J. S.",1855-11-22,1855-11-22
"Smith, Charles Roach","Henslow, J. S.",1855-12-01,1855-12-01
"Smith, Charles Roach","Henslow, J. S.",1856-03-22,1856-03-22
"Spence, William","Henslow, J. S.",1856-04-25,1856-04-25
"Spence, William","Henslow, J. S.",1856-06-16,1856-06-16
"Temple, Frederick","Henslow, J. S.",1856-07-12,1856-07-12
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Spence, William","Henslow, J. S.",1856-09-11,1856-09-11
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Henslow, J. S.","Jenyns, Leonard",1857-06-12,1857-06-12
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-08-04,1857-08-04
"Longman, Thomas","Henslow, J. S.",1857-08-11,1857-08-11
"Philpott, Henry","Henslow, J. S.",1857-10-01,1857-10-01
