sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-06-03,1820-06-03
"Brewster, David","Henslow, J. S.",1822-11-11,1822-11-11
"Twopeny, Richard","Henslow, J. S.",1823-06-15,1823-06-15
"Stephens, J. F.","Henslow, J. S.",1824-07-22,1824-07-22
"Goulburn, Henry","Henslow, J. S.",1825-12-09,1825-12-09
"Stapleton, J. H.","Henslow, J. S.",1826-01-13,1826-01-13
"Henslow, J. S.","Dale, J. C.",1826-02-14,1826-02-14
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Graham, Robert","Henslow, J. S.",1826-11-03,1826-11-03
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Winch, N. J.","Henslow, J. S.",1827-05-21,1827-05-21
"Graham, Robert","Henslow, J. S.",1828-01-26,1828-01-26
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Hooker, William Jackson","Henslow, J. S.",1830-01-08,1830-01-08
"Graham, Robert","Henslow, J. S.",1830-02-09,1830-02-09
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Arnott, G. A. W.","Henslow, J. S.",1830-05-13,1830-05-13
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Christy Jr, William","Henslow, J. S.",1831-02-26,1831-02-26
"Christy Jr, William","Henslow, J. S.",1831-02-26,1831-02-26
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Ramsay, Lauderdale","Henslow, J. S.",1831-08-01,1831-08-01
"Ramsay, E. B.","Henslow, J. S.",1831-09-03,1831-09-03
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-02-10,1834-02-10
"Henslow, J. S.","Phillips, John",1834-08-20,1834-08-20
"Henslow, J. S.","Phillips, John",1834-08-20,1834-08-20
"Henslow, J. S.","Phillips, John",1836-08-08,1836-08-08
"Henslow, J. S.","Phillips, John",1836-08-08,1836-08-08
"Lardner, D.","Henslow, J. S.",1837-11-20,1837-11-20
"Jenyns, Leonard","Henslow, J. S.",1839-07-02,1839-07-02
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Whately, Richard","Henslow, J. S.",1842-06-27,1842-06-27
"Whately, Richard","Henslow, J. S.",1842-06-27,1842-06-27
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Charlesworth, Edward","Henslow, J. S.",1844-12-27,1844-12-27
"Phillips, John","Henslow, J. S.",1849-04-24,1849-04-24
"Phillips, John","Henslow, J. S.",1849-04-24,1849-04-24
"Jenyns, Leonard","Henslow, J. S.",1849-09-24,1849-09-24
"Sabine, Edward","Henslow, J. S.",1850-06-18,1850-06-18
"Henslow, J. S.","Jenyns, Leonard",1851-08-10,1851-08-10
"Horner, Leonard","Henslow, J. S.",1852-08-08,1852-08-08
"Cumming, Joseph George","Henslow, J. S.",1854-08-24,1854-08-24
"Smith, Charles Roach","Henslow, J. S.",1854-10-03,1854-10-03
"Henslow, J. S.","Airy, George Biddell",1854-12-03,1854-12-03
"Spence, William","Henslow, J. S.",1855-06-28,1855-06-28
"Trevelyan, W. C.","Henslow, J. S.",1855-07-02,1855-07-02
"Horner, Leonard","Henslow, J. S.",1855-09-24,1855-09-24
"Jardine, William","Henslow, J. S.",1856-03-20,1856-03-20
"Stainton, H. T.","Henslow, J. S.",1856-06-10,1856-06-10
"Jenyns, Leonard","Henslow, J. S.",1856-07-01,1856-07-01
"Henslow, J. S.","Belper, Lord",1856-09-01,1856-09-01
"Horner, Leonard","Henslow, J. S.",1856-09-24,1856-09-24
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Jenyns, Leonard","Henslow, J. S.",1857-07-02,1857-07-02
"Patterson, Robert","Henslow, J. S.",1857-09-12,1857-09-12
"Patterson, Robert","Henslow, J. S.",1857-09-12,1857-09-12
"Patterson, Robert","Henslow, J. S.",1857-09-12,1857-09-12
"Henslow, J. S.","Balfour, J. H.",1858-10-14,1858-10-14
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
"Elphinstone, H.","Henslow, J. S.",1860-10-30,1860-10-30
