sender,recipient,date,end date
"Sowerby, James","Henslow, J. S.",1820-04-24,1820-04-24
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Curtis, John","Henslow, J. S.",1825-04-03,1825-04-03
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Smirke, E.","Henslow, J. S.",1825-12-04,1825-12-04
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Stapleton, J. H.","Henslow, J. S.",1826-01-28,1826-01-28
"Palmerston, Lord","Henslow, J. S.",1826-06-08,1826-06-08
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-05,1827-01-05
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Greville, R. K.","Henslow, J. S.",1827-01-23,1827-01-23
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Hooker, William Jackson","Henslow, J. S.",1828-04-22,1828-04-22
"Henslow, J. S.","Dale, J. C.",1828-05-02,1828-05-02
"Hunneman, J.","Henslow, J. S.",1828-05-22,1828-05-22
"Radius, Justus","Henslow, J. S.",1828-12-24,1828-12-24
"Hooker, William Jackson","Henslow, J. S.",1829-05-17,1829-05-17
"Hooker, William Jackson","Henslow, J. S.",1829-10-12,1829-10-12
"Hooker, William Jackson","Henslow, J. S.",1830-11-27,1830-11-27
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Wedgwood, Hensleigh","Henslow, J. S.",1831-02-05,1831-02-05
"Henslow, J. S.","Brown, Robert",1831-03-25,1831-03-25
"Wood, J.","Henslow, J. S.",1831-04-24,1831-04-24
"Green, Charles","Henslow, J. S.",1831-08-13,1831-08-13
"Ramsay, E. B.","Henslow, J. S.",1831-11-23,1831-11-23
"Green, Charles","Henslow, J. S.",1831-12-13,1831-12-13
"Henslow, J. S.","Dale, J. C.",1832-09-22,1832-09-22
"Brown, Robert","Henslow, J. S.",1833-06-18,1833-06-18
"Daubeny, Charles","Henslow, J. S.",1834-01-18,1834-01-18
"Birkbeck, George","Henslow, J. S.",1835-05-13,1835-05-13
"Simeon, Charles","Henslow, J. S.",1835-05-19,1835-05-19
"Fitton, William Henry","Henslow, J. S.",1837-12-08,1837-12-08
"Herbert, William","Henslow, J. S.",1839-04-05,1839-04-05
"Jenyns, Leonard","Henslow, J. S.",1839-07-02,1839-07-02
"Henry, Joseph","Henslow, J. S.",1839-12-02,1839-12-02
"Henslow, J. S.","Hutton, William",1839-12-22,1839-12-22
"Henslow, J. S.","Hutton, William",1840-03-09,1840-03-09
"Henslow, J. S.","Hutton, William",1840-04-28,1840-04-28
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Henslow, J. S.","Sedgwick, Adam",1841-10-05,1841-10-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
"Henry, Joseph","Henslow, J. S.",1842-07-05,1842-07-05
