sender,recipient,date,end date
"Huntley, Revd J. T.","Henslow, J. S.",1824-02-18,1824-02-18
"Calvert, Fred","Henslow, J. S.",1825-12-10,1825-12-10
"Wood, J.","Henslow, J. S.",1825-12-19,1825-12-19
"Loxdale, James","Henslow, J. S.",1825-12-26,1825-12-26
"Palmerston, Lord","Henslow, J. S.",1825-12-30,1825-12-30
"Palmerston, Lord","Henslow, J. S.",1825-12-31,1825-12-31
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Russell, Whitworth","Henslow, J. S.",1826-01-06,1826-01-06
"Calvert, Fred","Henslow, J. S.",1826-01-06,1826-01-06
"Clive, W.","Henslow, J. S.",1826-01-07,1826-01-07
"Clive, W.","Henslow, J. S.",1826-01-07,1826-01-07
"Palmerston, Lord","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-14,1826-01-14
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-16,1826-01-16
"Palmerston, Lord","Henslow, J. S.",1826-01-16,1826-01-16
"Whitbread, John","Henslow, J. S.",1826-01-16,1826-01-16
"Carrighan, A.","Henslow, J. S.",1826-01-17,1826-01-17
"Palmerston, Lord","Henslow, J. S.",1826-01-17,1826-01-17
"Jenyns, C.","Henslow, J. S.",1826-01-18,1826-01-18
"Carrighan, A.","Henslow, J. S.",1826-01-20,1826-01-20
"Palmerston, Lord","Henslow, J. S.",1826-01-24,1826-01-24
"Wood, J.","Henslow, J. S.",1826-01-25,1826-01-25
"Wood, J.","Henslow, J. S.",1826-01-29,1826-01-29
"Carrighan, A.","Henslow, J. S.",1826-01-29,1826-01-29
"Palmerston, Lord","Henslow, J. S.",1826-01-29,1826-01-29
"Sulivan, L.","Henslow, J. S.",1826-02-01,1826-02-01
"Wood, J.","Henslow, J. S.",1826-02-02,1826-02-02
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Sulivan, L.","Henslow, J. S.",1826-02-03,1826-02-03
"Palmerston, Lord","Henslow, J. S.",1826-02-04,1826-02-04
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Palmerston, Lord","Henslow, J. S.",1826-02-06,1826-02-06
"Palmerston, Lord","Henslow, J. S.",1826-02-08,1826-02-08
"Wood, J.","Henslow, J. S.",1826-02-09,1826-02-09
"Palmerston, Lord","Henslow, J. S.",1826-02-14,1826-02-14
"Carrighan, A.","Henslow, J. S.",1826-02-14,1826-02-14
"Hornbuckle, T.","Henslow, J. S.",1826-02-17,1826-02-17
"Wood, J.","Henslow, J. S.",1826-02-21,1826-02-21
"Palmerston, Lord","Henslow, J. S.",1826-02-22,1826-02-22
"Palmerston, Lord","Henslow, J. S.",1826-02-28,1826-02-28
"Palmerston, Lord","Henslow, J. S.",1826-03-01,1826-03-01
"Wood, J.","Henslow, J. S.",1826-03-08,1826-03-08
"Spencer, W. P.","Henslow, J. S.",1826-03-11,1826-03-11
"Palmerston, Lord","Henslow, J. S.",1826-05-02,1826-05-02
"Palmerston, Lord","Henslow, J. S.",1826-05-12,1826-05-12
