sender,recipient,date,end date
"Henslow, J. S.","Dale, J. C.",1820-11-28,1820-11-28
"Henslow, J. S.","Dale, J. C.",1821-07-02,1821-07-02
"Sparke (Bishop of Ely), Bowyer","Henslow, J. S.",1824-03-01,1824-03-01
"Kirby, William","Henslow, J. S.",1825-06-22,1825-06-22
"Radius, Justus","Henslow, J. S.",1825-09-15,1825-09-15
"Hutton, W. H.","Henslow, J. S.",1826-02-03,1826-02-03
"Wood, J.","Henslow, J. S.",1826-02-04,1826-02-04
"Sulivan, L.","Henslow, J. S.",1826-02-09,1826-02-09
"Wood, J.","Henslow, J. S.",1826-02-16,1826-02-16
"Griffith, J.","Henslow, J. S.",1826-02-17,1826-02-17
"Dale, J. C.","Henslow, J. S.",1826-02-20,1826-02-20
"Griffith, J.","Henslow, J. S.",1826-02-21,1826-02-21
"Griffith, J.","Henslow, J. S.",1826-02-22,1826-02-22
"Wood, J.","Henslow, J. S.",1826-02-26,1826-02-26
"Palmerston, Lord","Henslow, J. S.",1826-02-28,1826-02-28
"Griffith, J.","Henslow, J. S.",1826-02-28,1826-02-28
"Howson, J.","Henslow, J. S.",1826-06-01,1826-06-01
"Palmerston, Lord","Henslow, J. S.",1826-06-03,1826-06-03
"Sulivan, L.","Henslow, J. S.",1826-06-03,1826-06-03
"Palmerston, Lord","Henslow, J. S.",1826-06-06,1826-06-06
"Graham, Robert","Henslow, J. S.",1827-03-06,1827-03-06
"Hooker, William Jackson","Henslow, J. S.",1827-04-14,1827-04-14
"Greville, R. K.","Henslow, J. S.",1827-04-30,1827-04-30
"Leach, W. E.","Henslow, J. S.",1827-05-31,1827-05-31
"Lowe, R. T.","Henslow, J. S.",1827-10-30,1827-10-30
"Greville, R. K.","Henslow, J. S.",1828-04-14,1828-04-14
"Greville, R. K.","Henslow, J. S.",1828-07-07,1828-07-07
"Lowe, R. T.","Henslow, J. S.",1829-05-22,1829-05-22
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1830-07-02,1830-07-02
"Vachell, G. H.","Henslow, J. S.",1831-01-23,1831-01-23
"Hooker, William Jackson","Henslow, J. S.",1831-01-26,1831-01-26
"Yarrell, William","Henslow, J. S.",1831-02-08,1831-02-08
"Hooker, William Jackson","Henslow, J. S.",1831-02-14,1831-02-14
"Christy Jr, William","Henslow, J. S.",1831-02-26,1831-02-26
"Arnott, G. A. W.","Henslow, J. S.",1831-04-09,1831-04-09
"Henslow, J. S.","Wilson, William",1831-04-09,1831-04-09
"Lindley, John","Henslow, J. S.",1831-04-12,1831-04-12
"Henslow, J. S.","Lyell, Charles",1831-06-14,1831-06-14
"Johnston, George","Henslow, J. S.",1831-06-29,1831-06-29
"Lowe, R. T.","Henslow, J. S.",1831-11-15,1831-11-15
"Lyell, Charles","Henslow, J. S.",1832-02-15,1832-02-15
"Ramsay, E. B.","Henslow, J. S.",1832-10-20,1832-10-20
Darwin Family,"Henslow, J. S.",1833-02-01,1833-02-01
"Henslow, J. S.","Dale, J. C.",1834-02-08,1834-02-08
"Henslow, J. S.","Dale, J. C.",1834-04-12,1834-04-12
"Audubon, J. J.","Henslow, J. S.",1836-02-02,1836-02-02
"Henslow, J. S.","Hutton, William",1840-06-25,1840-06-25
"Jenyns, Leonard","Henslow, J. S.",1842-09-25,1842-09-25
"Henslow, J. S.","Whewell, William",1845-02-06,1845-02-06
"Phillips, John","Henslow, J. S.",1851-06-06,1851-06-06
"Henslow, J. S.","Sedgwick, Adam",1852-11-27,1852-11-27
"Bunbury, F. J.","Henslow, J. S.",1853-10-20,1853-10-20
"Bunbury, F. J.","Henslow, J. S.",1853-10-20,1853-10-20
"Thirlwall, Connop","Henslow, J. S.",1854-01-15,1854-01-15
"Sedgwick, Adam","Henslow, J. S.",1856-06-06,1856-06-06
"Jenyns, Leonard","Henslow, J. S.",1856-07-01,1856-07-01
"Henslow, J. S.","Jenyns, Leonard",1856-07-25,1856-07-25
"Belper, Lord","Henslow, J. S.",1856-08-29,1856-08-29
"Ducie, Lord","Henslow, J. S.",1856-12-31,1856-12-31
"Henslow, J. S.","Martin, Thomas",1857-02-09,1857-02-09
"Sedgwick, Adam","Henslow, J. S.",1858-11-06,1858-11-06
"Carpenter, William B.","Henslow, J. S.",1859-02-11,1859-02-11
"Charlesworth, Edward","Henslow, J. S.",1859-07-21,1859-07-21
"Jenyns, Leonard","Henslow, J. S.",1859-07-27,1859-07-27
"Henslow, J. S.","Jenyns, Leonard",1860-01-26,1860-01-26
"Carpenter, William B.","Henslow, J. S.",1860-05-14,1860-05-14
